

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:24 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
428,2000-10-01,,     0.0,     0.0,    10.0,    25.8,     8.3,    15.6,
428,2000-10-02,,     0.0,     0.0,     8.9,    21.3,     7.0,    13.6,
428,2000-10-03,,     0.0,     0.0,     7.7,    19.2,     7.2,    12.4,
428,2000-10-04,,     0.0,     0.0,     7.4,    20.3,     4.6,    11.5,
428,2000-10-05,,     0.0,     0.0,     8.0,    21.6,     4.2,    12.0,
428,2000-10-06,,     0.0,     0.0,     8.1,    22.6,     5.9,    12.9,
428,2000-10-07,,     0.0,     0.0,     8.3,    23.4,     5.5,    13.0,
428,2000-10-08,,     0.0,     0.0,     7.7,    23.2,     6.4,    13.0,
428,2000-10-09,,     0.0,     0.0,     7.0,    22.9,     4.9,    12.3,
428,2000-10-10,,     0.0,     0.7,    -0.6,    11.3,    -0.6,     5.1,
428,2000-10-11,,     0.0,     1.6,    -1.3,     2.4,    -1.5,    -0.3,
428,2000-10-12,,     0.1,     2.0,    -2.1,     0.8,    -2.1,    -0.7,
428,2000-10-13,,     0.0,     2.0,    -1.8,     4.3,    -3.3,    -0.3,
428,2000-10-14,,     0.0,     2.0,     1.3,    11.0,    -3.0,     2.6,
428,2000-10-15,,     0.0,     2.0,     0.8,    14.8,    -0.3,     5.2,
428,2000-10-16,,     0.0,     2.0,     0.8,    13.7,    -1.3,     5.0,
428,2000-10-17,,     0.0,     2.0,     1.9,    16.7,    -1.2,     6.3,
428,2000-10-18,,     0.0,     2.0,     3.3,    17.2,    -0.5,     7.0,
428,2000-10-19,,     0.0,     2.0,     2.7,    16.3,     1.0,     7.5,
428,2000-10-20,,     0.0,     2.0,     4.1,    19.5,    -0.1,     8.1,
428,2000-10-21,,     0.0,     2.2,     2.2,    11.1,     2.2,     5.0,
428,2000-10-22,,     0.0,     2.4,    -2.3,     7.0,    -2.3,     1.7,
428,2000-10-23,,     0.0,     2.4,     0.3,     5.2,    -4.1,    -0.2,
428,2000-10-24,,     0.0,     2.4,     1.4,    14.9,    -1.1,     5.0,
428,2000-10-25,,     0.0,     2.4,     3.2,    13.3,    -1.1,     4.8,
428,2000-10-26,,     0.1,     2.8,    -0.5,     4.5,    -1.5,     1.3,
428,2000-10-27,,     0.3,     3.4,    -0.3,     2.4,    -2.2,    -0.2,
428,2000-10-28,,     0.1,     3.5,     0.5,     8.9,    -1.6,     1.7,
428,2000-10-29,,     1.8,     4.4,    -2.4,     0.8,    -2.4,    -0.2,
428,2000-10-30,,     2.2,     5.9,    -3.1,     0.5,    -3.4,    -2.5,
428,2000-10-31,,     2.2,     6.0,    -3.5,     2.6,    -4.3,    -1.8,
