

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:05:04 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
428,2014-10-01,,     0.0,     0.0,     6.4,    15.0,     4.4,     9.1,       0,
428,2014-10-02,,     0.0,     0.0,     4.3,    15.4,     3.9,     8.1,       0,
428,2014-10-03,,     0.0,     0.0,     7.9,    21.0,     2.1,    10.5,       0,
428,2014-10-04,,     0.0,     0.0,     7.6,    23.2,     5.3,    12.8,       0,
428,2014-10-05,,     0.0,     0.0,     9.8,    24.1,     6.1,    13.4,       0,
428,2014-10-06,,     0.0,     0.0,     8.2,    24.1,     8.1,    14.0,       0,
428,2014-10-07,,     0.0,     0.0,     8.6,    24.3,     6.4,    13.4,       0,
428,2014-10-08,,     0.0,     0.0,     6.7,    21.7,     6.7,    12.5,       0,
428,2014-10-09,,     0.0,     0.0,     5.2,    20.0,     4.4,    10.6,       0,
428,2014-10-10,,     0.0,     0.0,     5.5,    18.5,     3.4,     9.5,       0,
428,2014-10-11,,     0.0,     0.0,     6.8,    18.9,     3.6,    10.1,       0,
428,2014-10-12,,     0.0,     0.0,     5.9,    19.8,     5.1,    10.9,       0,
428,2014-10-13,,     0.0,     0.0,     7.4,    17.5,     5.8,    10.1,       0,
428,2014-10-14,,     0.0,     0.0,    10.4,    21.7,     5.3,    12.1,       0,
428,2014-10-15,,     0.0,     0.0,     6.9,    16.6,     6.9,    11.5,       0,
428,2014-10-16,,     0.0,     0.7,     5.0,     6.9,     4.0,     5.0,       0,
428,2014-10-17,,     0.0,     0.7,     5.1,    12.3,     3.4,     7.0,       0,
428,2014-10-18,,     0.0,     0.7,     1.4,    11.7,     1.4,     6.6,       0,
428,2014-10-19,,     0.0,     0.7,     3.9,    16.0,    -0.4,     6.7,       0,
428,2014-10-20,,     0.0,     0.7,     7.8,    16.0,     1.5,     8.0,       0,
428,2014-10-21,,     0.0,     1.0,     1.6,    11.9,     1.6,     6.8,       0,
428,2014-10-22,,     0.0,     1.1,     0.5,    10.4,    -0.6,     3.5,       0,
428,2014-10-23,,     0.0,     1.1,     4.4,    13.6,     0.2,     6.3,       0,
428,2014-10-24,,     0.0,     1.2,     7.0,    11.7,     4.3,     7.1,       0,
428,2014-10-25,,     0.0,     1.2,     8.1,    16.2,     3.6,     9.5,       0,
428,2014-10-26,,     0.2,     2.0,     2.6,     8.8,     1.1,     3.9,       1,
428,2014-10-27,,     0.0,     2.1,     0.7,     9.0,     0.5,     3.4,       0,
428,2014-10-28,,     0.0,     2.1,     0.9,    11.9,    -0.4,     3.9,       0,
428,2014-10-29,,     0.0,     2.1,     3.5,    15.5,     0.6,     6.6,       0,
428,2014-10-30,,     0.0,     2.1,     3.4,    17.1,     2.0,     7.7,       0,
