

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:43 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
428,2006-10-01,,     0.0,     0.0,    10.0,    18.8,     4.9,    11.1,       0,
428,2006-10-02,,     0.0,     0.2,     4.6,    16.0,     4.6,     9.9,       0,
428,2006-10-03,,     0.0,     0.3,     3.2,    12.2,     3.2,     7.3,       0,
428,2006-10-04,,     0.0,     0.3,     5.7,    13.6,     2.0,     7.2,       0,
428,2006-10-05,,     0.0,     0.3,     2.6,     9.9,     2.6,     6.0,       0,
428,2006-10-06,,     0.0,     0.9,     0.2,     7.2,     0.0,     2.6,       0,
428,2006-10-07,,     0.0,     1.0,     1.0,    11.1,    -0.3,     3.5,       0,
428,2006-10-08,,     0.0,     1.0,     5.3,    11.9,     0.2,     5.4,       0,
428,2006-10-09,,     0.0,     1.0,     7.9,    14.6,     2.3,     8.5,       0,
428,2006-10-10,,     0.0,     1.1,     4.8,    14.8,     3.9,     8.2,       0,
428,2006-10-11,,     0.0,     1.1,     4.7,     7.3,     0.6,     4.0,       0,
428,2006-10-12,,     0.0,     1.1,     6.9,    14.4,     1.6,     7.6,       0,
428,2006-10-13,,     0.0,     1.1,     8.2,    16.7,     1.4,     9.0,       0,
428,2006-10-14,,     0.0,     1.2,     3.3,    17.5,     2.7,     9.0,       0,
428,2006-10-15,,     0.0,     1.2,     3.8,    18.0,     1.7,     8.3,       0,
428,2006-10-16,,     0.0,     1.2,     5.3,    15.1,     2.9,     7.9,       0,
428,2006-10-17,,     0.0,     1.4,    -0.4,     7.9,    -0.7,     3.6,       0,
428,2006-10-18,,     0.0,     1.4,     0.2,     6.4,    -1.4,     1.7,       0,
428,2006-10-19,,     0.0,     1.4,     4.4,    14.0,    -0.9,     5.6,       0,
428,2006-10-20,,     0.0,     1.4,     6.6,    17.5,     2.6,     9.5,       0,
428,2006-10-21,,     0.0,     1.4,     7.2,    17.3,     5.4,    10.3,       0,
428,2006-10-22,,     0.0,     1.4,     3.2,    18.6,     3.1,     8.3,       0,
428,2006-10-23,,     0.0,     1.4,     3.9,    17.6,     1.6,     8.5,       0,
428,2006-10-24,,     0.0,     1.4,     2.4,    16.8,     1.8,     7.9,       0,
428,2006-10-25,,     0.0,     1.4,     0.4,    14.8,     0.4,     6.3,       0,
428,2006-10-26,,     0.0,     1.4,     1.5,     7.7,    -2.4,     2.0,       0,
428,2006-10-27,,     0.0,     1.4,     2.8,    14.2,    -0.8,     5.3,       0,
428,2006-10-28,,     0.0,     1.4,     2.5,    18.5,    -0.2,     7.3,       0,
428,2006-10-29,,     0.0,     1.4,     0.0,    17.5,     0.0,     6.9,       0,
428,2006-10-30,,     0.0,     1.4,     0.1,    12.5,    -1.5,     4.4,       0,
428,2006-10-31,,     0.0,     1.4,     3.4,    11.4,    -1.8,     4.4,       0,
428,2006-11-01,,     0.0,     1.4,     0.0,    11.1,    -1.2,     3.9,       0,
428,2006-11-02,,     0.0,     1.4,     4.6,     9.4,    -1.1,     4.2,       0,
428,2006-11-03,,     0.1,     2.7,     3.0,     5.6,     2.3,     4.4,       1,
428,2006-11-04,,     0.0,     2.8,     1.0,     5.6,     0.0,     3.3,       0,
