

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:05:17 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
428,2018-10-01,,     0.0,     0.0,    10.1,    15.7,     5.7,    10.0,       0,
428,2018-10-02,,     0.0,     0.0,    12.1,    17.0,     8.3,    11.9,       0,
428,2018-10-03,,     0.0,     0.0,     9.4,    17.8,     7.7,    11.4,       0,
428,2018-10-04,,     0.0,     0.4,     6.7,    12.7,     6.1,     8.5,       0,
428,2018-10-05,,     0.0,     0.9,     5.2,     7.6,     5.2,     6.2,       0,
428,2018-10-06,,     0.0,     1.1,     4.8,    12.5,     1.0,     6.2,       0,
428,2018-10-07,,     0.0,     1.1,     3.6,     9.3,     3.5,     5.9,       0,
428,2018-10-08,,     0.0,     1.2,     4.3,    10.4,     0.5,     4.8,       0,
428,2018-10-09,,     0.0,     1.2,     5.3,    15.0,     2.7,     7.6,       0,
428,2018-10-10,,     0.0,     1.2,     4.6,    14.2,     2.6,     7.8,       0,
428,2018-10-11,,     0.0,     1.2,     4.7,    11.4,     1.3,     5.8,       0,
428,2018-10-12,,     0.0,     1.2,     2.6,    11.6,     2.3,     6.0,       0,
428,2018-10-13,,     0.0,     1.2,     5.5,    15.2,     1.3,     7.7,       0,
428,2018-10-14,,     0.0,     1.2,     6.3,    17.1,     1.5,     8.8,       0,
428,2018-10-15,,     0.0,     1.2,     1.6,     9.9,     1.4,     4.4,       0,
428,2018-10-16,,     0.0,     1.2,     5.5,    14.2,     0.2,     6.0,       0,
428,2018-10-17,,     0.0,     1.2,     6.4,    14.1,     1.7,     7.6,       0,
428,2018-10-18,,     0.0,     1.2,     1.9,    17.2,     1.5,     7.9,       0,
428,2018-10-19,,     0.0,     1.2,     7.9,    17.2,     0.8,     7.7,       0,
428,2018-10-20,,     0.0,     1.2,     9.2,    17.8,     5.1,    10.5,       0,
428,2018-10-21,,     0.0,     1.2,     3.3,    16.8,     2.4,     8.5,       0,
428,2018-10-22,,     0.0,     1.2,     2.7,    16.8,     1.4,     7.3,       0,
428,2018-10-23,,     0.0,     1.2,     2.2,    15.8,     1.2,     6.7,       0,
