

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:03:37 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
428,1986-10-01,,     3.2,     0.0,    -0.1,-99.9,-99.9,-99.9,
428,1986-10-02,,     2.6,     0.0,     0.0,-99.9,-99.9,-99.9,
428,1986-10-03,,     2.2,     0.0,    -0.4,-99.9,-99.9,-99.9,
428,1986-10-04,,     1.7,     0.0,     2.6,-99.9,-99.9,-99.9,
428,1986-10-05,,     0.7,     0.0,     6.5,-99.9,-99.9,-99.9,
428,1986-10-06,,     0.4,     0.0,     0.6,-99.9,-99.9,-99.9,
428,1986-10-07,,     0.3,     0.1,     0.3,-99.9,-99.9,-99.9,
428,1986-10-08,,     0.2,     0.2,     0.8,-99.9,-99.9,-99.9,
428,1986-10-09,,     0.1,     0.2,     1.8,-99.9,-99.9,-99.9,
428,1986-10-10,,     0.0,     0.3,     1.9,-99.9,-99.9,-99.9,
428,1986-10-11,,     0.0,     0.3,     3.1,-99.9,-99.9,-99.9,
428,1986-10-12,,     0.0,     0.5,     0.3,-99.9,-99.9,-99.9,
428,1986-10-13,,     0.0,     0.6,    -2.3,-99.9,-99.9,-99.9,
428,1986-10-14,,     0.0,     0.6,    -1.0,-99.9,-99.9,-99.9,
428,1986-10-15,,     0.0,     0.7,    -0.7,-99.9,-99.9,-99.9,
428,1986-10-16,,     0.0,     0.8,    -1.2,-99.9,-99.9,-99.9,
428,1986-10-17,,     0.0,     0.8,    -0.3,-99.9,-99.9,-99.9,
428,1986-10-18,,     0.1,     0.9,-99.9,-99.9,-99.9,-99.9,
428,1986-10-19,,     0.3,     1.2,     1.7,-99.9,-99.9,-99.9,
428,1986-10-20,,     0.2,     1.3,    -0.5,-99.9,-99.9,-99.9,
428,1986-10-21,,     0.2,     1.3,    -0.1,-99.9,-99.9,-99.9,
428,1986-10-22,,     0.1,     1.3,    -0.7,-99.9,-99.9,-99.9,
428,1986-10-23,,     0.1,     1.4,    -1.2,-99.9,-99.9,-99.9,
428,1986-10-24,,     0.0,     1.4,     4.4,-99.9,-99.9,-99.9,
428,1986-10-25,,     0.0,     1.4,-99.9,-99.9,-99.9,-99.9,
428,1986-10-26,,     0.0,     1.4,-99.9,-99.9,-99.9,-99.9,
428,1986-10-27,,     0.0,     1.4,     6.1,-99.9,-99.9,-99.9,
428,1986-10-28,,     0.0,     1.4,    -1.1,-99.9,-99.9,-99.9,
428,1986-10-29,,     0.0,     1.4,     5.7,-99.9,-99.9,-99.9,
428,1986-10-30,,     0.0,     1.4,    -0.1,-99.9,-99.9,-99.9,
428,1986-10-31,,     0.0,     1.6,    -1.7,-99.9,-99.9,-99.9,
428,1986-11-01,,     0.0,     1.6,    -0.7,-99.9,-99.9,-99.9,
428,1986-11-02,,     0.0,     1.6,     0.4,-99.9,-99.9,-99.9,
428,1986-11-03,,     0.0,     1.6,     5.4,-99.9,-99.9,-99.9,
428,1986-11-04,,     0.0,     1.6,     4.7,-99.9,-99.9,-99.9,
428,1986-11-05,,     0.1,     1.7,    -0.9,-99.9,-99.9,-99.9,
428,1986-11-06,,     0.0,     1.7,     0.0,-99.9,-99.9,-99.9,
428,1986-11-07,,     0.0,     1.8,    -5.4,-99.9,-99.9,-99.9,
428,1986-11-08,,     0.0,     1.8,    -5.0,-99.9,-99.9,-99.9,
428,1986-11-09,,     0.0,     1.8,    -5.2,-99.9,-99.9,-99.9,
