,Eur,IOD,NAO,Nino34
1961-05,1.043,1.04,-0.874,1.76
1961-06,-0.024,-0.49,-0.708,3.31
1961-07,0.34,-2.07,-0.474,2.71
1961-08,0.113,-1.7,-0.654,3.97
1961-09,1.149,0.18,-0.37,0.75
1961-10,3.417,0.02,0.089,-1.59
1961-11,-0.008,1.46,-0.328,-1.33
1961-12,-1.934,2.11,-0.74,-0.19
1962-01,-1.859,1.78,-0.322,1.78
1962-02,1.068,0.83,0.034,1.8
1962-03,0.476,-0.89,-0.207,-3.67
1962-04,-1.568,0.81,-0.489,0.78
1962-05,0.47,0.3,-0.819,1.64
1962-06,-2.013,-0.57,-0.302,-0.61
1962-07,-2.522,-0.15,0.112,-0.99
1962-08,1.432,-0.48,-0.305,-0.76
1962-09,-1.625,-0.38,0.072,0.94
1962-10,0.341,0.05,0.106,-2.47
1962-11,-2.848,-0.09,-0.499,-3.41
1962-12,0.724,0.44,-0.779,-0.21
1963-01,-0.558,2.07,-0.375,1.07
1963-02,-0.905,3.53,-0.218,-2.01
1963-03,-0.911,1.11,-0.39,-2.41
1963-04,1.967,1.22,-0.376,-0.44
1963-05,1.741,-0.23,-0.518,2.16
1963-06,-1.582,-0.07,0.1,-1.14
1963-07,-2.084,0.96,0.088,1.47
1963-08,-1.091,-1.98,-0.325,2.14
1963-09,-0.141,0.49,-0.14,-0.04
1963-10,0.537,0.54,-0.037,1.26
1963-11,-0.746,1.29,-0.348,0.1
1963-12,0.151,-0.56,-0.141,-1.36
1964-01,0.587,1.7,-0.307,-2.08
1964-02,0.344,1.12,-0.988,1.85
1964-03,0.502,2.01,0.148,-2.02
1964-04,-0.814,0.6,0.163,-0.22
1964-05,-1.433,1.71,-0.543,2.62
1964-06,-1.645,0.4,0.277,0.79
1964-07,1.074,0.52,-0.547,-0.5
1964-08,-0.567,-0.88,-0.35,1.21
1964-09,-2.386,-0.59,0.123,2.33
1964-10,0.551,0.2,-0.107,0.11
1964-11,1.931,-1.13,0.236,-0.92
1964-12,-1.746,0.43,-0.351,-0.85
1965-01,-0.197,0.85,-0.119,-1.5
1965-02,1.53,-1.02,-0.519,2.46
1965-03,2.99,1.92,-0.317,1.12
1965-04,-0.527,0.57,-0.66,3.24
1965-05,0.984,0.64,-0.154,1.52
1965-06,0.764,0.62,-1.148,1.13
1965-07,1.881,-1.04,-0.8,-2.65
1965-08,0.393,-1.55,-0.472,0.62
1965-09,-1.483,-1.06,0.888,1.71
1965-10,1.091,1.6,-0.191,-1.93
1965-11,-0.254,-1.82,0.585,-2.53
1965-12,-1.492,1.22,-0.571,-0.57
1966-01,-0.451,0.96,-0.135,0.74
1966-02,-1.687,-1.28,0.241,-0.01
1966-03,0.902,-0.55,0.243,-2.62
1966-04,0.933,-0.73,-0.343,-3.74
1966-05,0.318,2.35,-0.238,-0.95
1966-06,-1.348,0.68,-0.238,1.9
1966-07,-1.604,-0.53,-0.435,0.92
1966-08,1.182,0.79,0.623,-0.25
1966-09,0.586,0.76,-0.494,0.4
1966-10,0.121,0.93,-0.385,0.47
1966-11,-0.432,0.72,-0.232,1.6
1966-12,1.424,1.35,0.219,1.4
1967-01,1.037,1.11,-0.148,-0.34
1967-02,-3.185,2.46,-0.112,-2.56
1967-03,1.206,-0.44,-0.114,-0.42
1967-04,1.837,1.63,-0.71,-1.98
1967-05,0.28,0.98,-0.516,2.5
1967-06,1.365,-0.33,0.369,2.29
1967-07,-0.941,-0.18,0.457,1.61
1967-08,2.116,-1.24,-0.385,-0.97
1967-09,2.641,-0.12,-0.346,-2.19
1967-10,0.555,1.47,-0.288,1.15
1967-11,-0.776,2.19,0.409,0.6
