

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:59 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
428,2012-10-01,,     0.0,     0.0,    10.7,    25.1,     8.4,    15.5,       0,
428,2012-10-02,,     0.0,     0.0,    10.9,    25.9,     9.7,    16.4,       0,
428,2012-10-03,,     0.0,     0.0,     9.1,    24.1,     9.0,    15.4,       0,
428,2012-10-04,,     0.0,     0.0,     8.8,    22.7,     7.8,    13.8,       0,
428,2012-10-05,,     0.0,     0.0,     6.8,    20.1,-99.9,-99.9,       0,
428,2012-10-06,,     0.0,     0.0,     5.2,    17.7,     5.2,    10.0,       0,
428,2012-10-07,,     0.0,     0.0,     6.1,    17.5,     3.4,     9.2,       0,
428,2012-10-08,,     0.0,     0.0,     6.3,    18.4,     4.2,    10.0,       0,
428,2012-10-09,,     0.0,     0.0,     4.0,    14.4,     3.0,     7.9,       0,
428,2012-10-10,,     0.0,     0.0,     5.6,    14.2,     2.2,     7.5,       0,
428,2012-10-11,,     0.0,     0.0,     5.7,    16.8,     2.6,     8.6,       0,
428,2012-10-12,,     0.0,     0.1,     6.6,    15.7,     4.7,     9.6,       0,
428,2012-10-13,,     0.0,     0.1,     2.4,     7.7,     1.8,     5.9,       0,
428,2012-10-14,,     0.0,     0.1,     7.6,    17.4,     1.0,     8.7,       0,
428,2012-10-15,,     0.0,     0.1,     8.0,    18.9,     4.3,    10.9,       0,
428,2012-10-16,,     0.0,     0.1,     8.5,    20.1,     5.9,    11.7,       0,
428,2012-10-17,,     0.0,     0.1,     9.9,    18.5,     7.5,    12.1,       0,
428,2012-10-18,,     0.0,     0.1,     8.4,    21.9,     6.3,    12.3,       0,
428,2012-10-19,,     0.0,     0.1,     7.4,    21.9,     5.3,    12.1,       0,
428,2012-10-20,,     0.0,     0.1,    11.0,-99.9,-99.9,-99.9,       0,
428,2012-10-21,,     0.0,     0.1,     6.3,    15.2,     5.3,    10.2,       0,
428,2012-10-22,,     0.0,     0.1,     0.7,     9.1,     0.7,     5.7,       0,
428,2012-10-23,,     1.8,     2.1,    -0.6,     1.3,    -1.3,    -0.1,      21,
428,2012-10-24,,     2.5,     2.8,    -1.0,     1.0,    -2.4,    -0.9,      25,
428,2012-10-25,,     3.2,     3.5,     0.3,     1.2,    -1.4,    -0.1,      29,
428,2012-10-26,,     3.1,     3.6,     0.1,     5.7,    -0.1,     1.7,      26,
428,2012-10-27,,     2.8,     3.6,     1.7,    11.9,    -2.2,     3.3,      23,
428,2012-10-28,,     2.5,     3.6,     3.9,    14.0,     1.4,     6.5,      19,
428,2012-10-29,,     2.2,     3.7,     2.8,    16.2,     1.5,     7.0,      18,
428,2012-10-30,,     2.0,     3.7,     2.2,    17.0,     1.8,     6.9,      15,
428,2012-10-31,,     1.6,     4.4,     3.9,    16.6,     1.2,     6.9,      11,
428,2012-11-01,,     1.3,     4.4,     3.4,    12.3,     3.0,     6.7,      11,
428,2012-11-02,,     1.1,     5.0,     0.9,     7.4,     0.9,     4.2,      12,
428,2012-11-03,,     0.9,     5.1,     1.6,    12.6,    -0.4,     4.1,       8,
428,2012-11-04,,     0.7,     5.1,     3.2,    16.0,     0.3,     5.9,       8,
428,2012-11-05,,     0.6,     5.1,     5.7,    16.7,     2.6,     8.5,       8,
428,2012-11-06,,     0.4,     5.1,     6.3,    18.6,     3.0,     9.7,       6,
428,2012-11-07,,     0.2,     5.1,     3.5,    18.7,     3.6,     8.7,       5,
428,2012-11-08,,     0.2,     5.1,     6.9,    15.5,     3.2,     7.7,       3,
428,2012-11-09,,     0.9,     5.9,    -3.9,     7.2,    -3.9,     0.5,      12,
428,2012-11-10,,     1.1,     6.2,    -5.1,    -1.3,    -5.1,    -4.2,      13,
428,2012-11-11,,     1.3,     6.5,   -10.7,    -1.2,   -10.7,    -5.1,      16,
428,2012-11-12,,     1.3,     6.6,    -4.0,     4.9,   -11.3,    -3.7,      14,
428,2012-11-13,,     1.3,     6.6,    -3.1,     7.2,    -4.5,    -0.1,      11,
428,2012-11-14,,     1.1,     6.6,     0.3,     9.7,    -3.4,     2.0,       9,
428,2012-11-15,,     1.0,     6.6,    -0.6,    12.4,    -0.7,     3.2,       8,
428,2012-11-16,,     1.0,     6.6,     2.4,    13.8,    -1.3,     4.3,       7,
428,2012-11-17,,     1.1,     7.0,     2.5,     3.8,     1.8,     2.8,       6,
428,2012-11-18,,     1.7,     9.1,     1.5,     5.1,     1.4,     3.0,      10,
428,2012-11-19,,     2.4,    10.0,     0.4,     2.2,    -0.4,     1.2,      16,
428,2012-11-20,,     2.5,    10.3,     1.7,     2.9,     0.4,     2.0,      16,
428,2012-11-21,,     2.5,    10.4,     2.8,     4.5,     1.1,     2.7,      15,
428,2012-11-22,,     2.4,    11.1,     0.6,     4.9,     0.6,     3.1,      12,
428,2012-11-23,,     2.2,    11.1,     0.9,    10.2,    -1.8,     2.4,      13,
428,2012-11-24,,     2.1,    11.1,     0.4,    15.5,    -0.4,     4.3,      12,
428,2012-11-25,,     2.1,    11.1,    -0.3,    14.6,    -0.6,     4.1,      12,
428,2012-11-26,,     2.1,    11.1,     0.0,    12.7,    -1.7,     2.9,       9,
428,2012-11-27,,     2.1,    11.1,     0.5,    13.6,    -2.2,     3.2,      11,
428,2012-11-28,,     2.1,    11.1,     3.1,     9.5,     0.4,     4.2,      10,
428,2012-11-29,,     3.1,    12.1,     3.5,     7.2,     1.8,     3.7,      14,
428,2012-11-30,,     3.2,    13.6,     3.4,     4.6,     2.3,     3.5,      15,
428,2012-12-01,,     3.9,    18.0,     2.8,     4.5,     2.0,     3.1,      17,
428,2012-12-02,,     4.0,    19.4,     5.1,     5.7,     1.9,     3.6,      15,
428,2012-12-03,,     4.7,    22.3,    -0.5,     5.9,    -1.6,     2.6,      21,
428,2012-12-04,,     4.8,    22.4,     2.4,     6.2,    -0.5,     2.7,      21,
428,2012-12-05,,     5.6,    23.1,     1.4,     5.0,     1.1,     2.7,      21,
428,2012-12-06,,     5.8,    24.4,     2.9,     6.6,     1.0,     4.1,      22,
428,2012-12-07,,     5.7,    24.4,     0.5,     8.2,     0.4,     3.3,      21,
428,2012-12-08,,     5.7,    24.4,    -2.2,    12.2,    -2.5,     1.6,      22,
428,2012-12-09,,     5.6,    24.4,     0.5,     9.6,    -2.8,     1.2,      20,
428,2012-12-10,,     5.4,    24.4,     1.8,     8.0,     0.5,     3.3,      19,
428,2012-12-11,,     5.1,    24.4,    -0.4,    10.1,    -1.0,     2.9,      21,
428,2012-12-12,,     5.1,    24.4,    -0.6,     9.9,    -1.3,     2.4,      21,
428,2012-12-13,,     5.7,    25.2,    -8.0,    -0.4,    -8.0,    -2.6,      29,
428,2012-12-14,,     5.7,    25.2,    -9.8,     0.0,   -11.5,    -7.1,      25,
428,2012-12-15,,     5.8,    25.3,    -8.1,    -3.0,   -11.0,    -6.4,      25,
428,2012-12-16,,     5.9,    25.4,    -3.3,    -2.6,   -12.7,    -6.8,      28,
428,2012-12-17,,     6.4,    25.9,     1.0,     1.0,    -3.3,    -1.5,      34,
428,2012-12-18,,     8.2,    27.2,    -3.5,     1.3,    -3.5,    -0.4,      35,
428,2012-12-19,,     8.6,    27.5,   -13.1,    -2.9,   -13.1,    -8.2,      34,
428,2012-12-20,,     8.6,    27.5,    -8.5,    -0.7,   -14.3,    -8.6,      34,
428,2012-12-21,,     8.6,    27.5,    -2.6,     0.9,    -8.6,    -3.1,      35,
428,2012-12-22,,     9.3,    28.2,     0.0,     0.5,    -3.4,    -1.1,      42,
428,2012-12-23,,    12.5,    30.4,    -2.9,     0.5,    -4.2,    -2.3,      61,
428,2012-12-24,,    15.9,    33.1,    -1.6,    -0.6,    -3.0,    -1.8,      78,
428,2012-12-25,,    16.2,    33.4,    -6.2,     0.5,    -7.5,    -3.5,      74,
428,2012-12-26,,    17.6,    34.4,    -2.2,    -1.2,    -8.4,    -3.9,      82,
428,2012-12-27,,    18.3,    35.2,    -4.8,    -1.9,    -4.8,    -3.3,      82,
428,2012-12-28,,    18.1,    35.2,   -11.7,    -1.3,   -11.7,    -6.5,      80,
428,2012-12-29,,    17.9,    35.2,    -5.4,    -2.7,   -13.2,    -7.5,      77,
428,2012-12-30,,    17.9,    35.2,    -6.2,    -2.0,    -6.6,    -4.7,      75,
428,2012-12-31,,    17.9,    35.2,    -9.5,    -2.9,    -9.6,    -6.5,      74,
428,2013-01-01,,    18.0,    35.3,    -9.0,     3.5,   -12.7,    -6.2,      72,
428,2013-01-02,,    18.0,    35.3,   -10.2,     0.7,   -11.5,    -7.1,      71,
428,2013-01-03,,    18.1,    35.4,    -5.2,     5.8,   -10.6,    -2.8,      69,
428,2013-01-04,,    18.1,    35.4,    -6.5,     9.0,    -8.8,    -2.8,      68,
428,2013-01-05,,    18.3,    35.5,    -3.9,     9.0,    -7.3,    -1.7,      66,
428,2013-01-06,,    18.3,    35.5,    -3.3,     6.0,    -4.3,     0.0,      65,
428,2013-01-07,,    18.4,    35.5,    -4.9,     2.4,    -4.9,    -1.9,      65,
428,2013-01-08,,    18.4,    35.5,     1.5,     7.4,    -5.5,     0.9,      64,
428,2013-01-09,,    18.4,    35.5,    -0.5,    12.7,    -0.7,     3.4,      62,
