

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:03:55 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
428,1991-10-01,,     0.0,     0.0,     8.4,    25.3,     7.9,    15.1,
428,1991-10-02,,     0.0,     0.0,     9.9,    26.1,     7.1,    15.0,
428,1991-10-03,,     0.0,     0.0,     8.4,    26.0,     8.0,    15.7,
428,1991-10-04,,     0.0,     0.0,     8.7,    28.5,     6.6,    15.6,
428,1991-10-05,,     0.0,     0.1,     7.8,    25.2,     6.9,    15.0,
428,1991-10-06,,     0.0,     0.1,     7.6,    24.9,     6.0,    14.1,
428,1991-10-07,,     0.0,     0.2,     6.3,    22.8,     6.7,    13.3,
428,1991-10-08,,     0.0,     0.2,     4.9,    20.3,     3.9,    11.1,
428,1991-10-09,,     0.0,     0.2,    11.4,    23.7,     3.4,    12.0,
428,1991-10-10,,     0.0,     0.2,    13.0,    25.3,     8.8,    15.3,
428,1991-10-11,,     0.0,     0.2,     8.6,    26.6,     8.6,    15.7,
428,1991-10-12,,     0.0,     0.2,     9.0,    23.0,     7.3,    13.9,
428,1991-10-13,,     0.0,     0.2,     7.5,    25.3,     6.8,    14.1,
428,1991-10-14,,     0.0,     0.2,     7.6,    27.0,     6.3,    14.5,
428,1991-10-15,,     0.0,     0.2,     7.8,    28.6,     7.1,    15.3,
428,1991-10-16,,     0.0,     0.2,     6.0,    25.6,     6.1,    14.1,
428,1991-10-17,,     0.0,     0.2,     4.9,    20.8,     4.7,    11.6,
428,1991-10-18,,     0.0,     0.2,     5.2,    21.7,     3.5,    11.4,
428,1991-10-19,,     0.0,     0.2,     5.8,    23.3,     3.9,    11.9,
428,1991-10-20,,     0.0,     0.2,     7.8,    25.2,     5.5,    12.5,
428,1991-10-21,,     0.0,     0.2,     4.5,    18.6,     5.8,    10.2,
428,1991-10-22,,     0.0,     0.2,     7.5,    18.7,     2.0,     9.9,
428,1991-10-23,,     0.0,     0.6,     0.9,     9.0,     1.6,     5.4,
428,1991-10-24,,     0.0,     0.7,     0.0,     5.9,    -1.0,     1.6,
428,1991-10-25,,     0.0,     0.7,    -0.2,     3.9,    -1.7,     0.6,
428,1991-10-26,,     0.0,     3.1,     2.8,     1.1,    -1.3,     0.0,
428,1991-10-27,,     0.0,     4.9,    -2.8,     3.4,    -2.0,     0.3,
428,1991-10-28,,     0.0,     5.3,    -6.6,     5.6,    -6.9,    -2.7,
428,1991-10-29,,     0.0,     5.3,    -1.9,    11.5,    -7.1,    -0.6,
428,1991-10-30,,     0.0,     5.4,    -7.1,     4.4,    -6.3,    -1.0,
428,1991-10-31,,     0.0,     5.4,    -6.1,     6.3,    -8.1,    -2.8,
428,1991-11-01,,     0.0,     5.4,    -2.4,    18.2,    -6.7,     2.8,
428,1991-11-02,,     0.0,     5.4,    -1.9,    16.9,    -3.0,     4.5,
428,1991-11-03,,     0.0,     5.4,    -0.2,    19.7,    -2.2,     5.6,
428,1991-11-04,,     0.0,     5.4,    -0.5,    16.8,    -0.2,     6.1,
428,1991-11-05,,     0.0,     5.4,     1.3,    18.9,    -0.9,     6.9,
428,1991-11-06,,     0.0,     5.4,     2.3,    24.0,     0.9,     9.3,
428,1991-11-07,,     0.0,     5.4,     2.6,    23.4,     1.6,     9.6,
428,1991-11-08,,     0.0,     5.4,     5.8,    23.2,     1.4,    10.1,
428,1991-11-09,,     0.0,     5.7,     4.9,    10.1,     5.2,     6.8,
428,1991-11-10,,     0.0,     6.1,     2.2,    14.4,     3.3,     6.6,
428,1991-11-11,,     0.0,     6.2,     0.6,    17.4,     0.7,     6.2,
428,1991-11-12,,     0.0,     6.3,     0.2,    21.3,    -0.6,     7.2,
428,1991-11-13,,     0.0,     6.3,     0.6,    19.9,    -0.2,     7.0,
428,1991-11-14,,     0.0,     6.5,    -4.1,     8.5,    -2.9,     2.3,
428,1991-11-15,,     0.0,     6.6,    -4.8,     1.9,    -4.7,    -2.7,
428,1991-11-16,,     0.0,     6.7,    -6.5,     8.6,    -5.6,    -1.6,
428,1991-11-17,,     0.0,     6.7,    -1.8,     7.4,    -6.9,    -0.2,
428,1991-11-18,,     1.7,     8.4,    -2.6,    -0.3,    -2.3,    -1.3,
428,1991-11-19,,     2.7,    10.0,    -7.6,     6.2,    -6.1,    -1.7,
428,1991-11-20,,     2.7,    10.0,     0.2,    14.5,    -7.6,     0.4,
428,1991-11-21,,     2.9,    10.5,     1.3,     1.5,    -0.2,     0.7,
428,1991-11-22,,     2.9,    10.7,    -4.8,    12.5,    -3.8,     2.6,
428,1991-11-23,,     2.8,    10.7,    -4.9,    17.1,    -6.4,     0.6,
428,1991-11-24,,     2.6,    10.7,    -1.6,    20.3,    -5.5,     3.5,
428,1991-11-25,,     2.5,    10.7,    -2.1,    14.9,    -2.3,     3.5,
428,1991-11-26,,     2.5,    10.7,    -2.8,    14.0,    -2.5,     3.2,
428,1991-11-27,,     2.5,    10.7,     1.0,    11.6,    -4.1,     3.1,
428,1991-11-28,,     2.6,    11.4,    -7.2,     2.3,    -7.1,    -1.7,
428,1991-11-29,,     2.6,    11.4,    -5.5,     7.1,    -7.6,    -2.3,
428,1991-11-30,,     2.6,    11.4,   -10.7,    -3.9,    -9.3,    -6.4,
428,1991-12-01,,     2.6,    11.4,    -7.0,     0.0,   -11.8,    -6.7,
428,1991-12-02,,     2.4,    11.4,    -4.1,     2.9,    -8.5,    -3.1,
428,1991-12-03,,     2.3,    11.4,     1.8,    13.1,    -4.4,     2.1,
428,1991-12-04,,     2.3,    11.4,    -4.6,    20.1,    -3.3,     4.4,
428,1991-12-05,,     2.3,    11.4,    -4.5,    19.4,    -6.2,     2.1,
428,1991-12-06,,     2.1,    11.4,     2.8,    16.6,    -5.9,     2.3,
428,1991-12-07,,     2.1,    11.6,    -2.3,     9.5,    -1.4,     3.3,
428,1991-12-08,,     2.7,    12.5,    -6.1,     2.6,    -5.4,    -2.4,
428,1991-12-09,,     2.7,    12.6,    -7.7,     2.3,    -6.6,    -3.9,
428,1991-12-10,,     2.7,    12.6,    -6.0,    17.9,    -8.1,     0.3,
428,1991-12-11,,     2.7,    12.6,    -5.4,     5.5,    -6.8,    -2.3,
428,1991-12-12,,     2.7,    12.6,    -5.8,    11.8,    -7.5,    -0.7,
