

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:06 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
428,1995-10-01,,     0.0,     0.0,     3.7,    21.0,     0.8,     8.5,
428,1995-10-02,,     0.0,     0.0,     8.0,    23.1,     0.8,     9.9,
428,1995-10-03,,     0.0,     0.0,     6.7,    27.5,     6.0,    12.8,
428,1995-10-04,,     0.0,     0.0,     4.3,    19.1,     4.2,    10.1,
428,1995-10-05,,     0.0,     0.0,     3.6,    15.4,     0.6,     6.1,
428,1995-10-06,,     0.0,     0.0,     4.1,    19.9,     0.0,     8.3,
428,1995-10-07,,     0.0,     0.0,     4.4,    16.5,     2.6,     8.1,
428,1995-10-08,,     0.0,     0.0,     2.8,    19.2,     0.7,     8.3,
428,1995-10-09,,     0.0,     0.0,     3.1,    18.5,     0.3,     7.8,
428,1995-10-10,,     0.0,     0.0,     4.8,    20.7,     0.0,     9.1,
428,1995-10-11,,     0.0,     0.0,    10.1,    22.0,     2.6,    11.4,
428,1995-10-12,,     0.0,     0.0,     5.0,    16.0,     4.6,     9.8,
428,1995-10-13,,     0.0,     0.0,     4.3,    19.1,     1.3,     7.9,
428,1995-10-14,,     0.0,     0.0,     5.3,    20.9,     1.7,     8.8,
428,1995-10-15,,     0.0,     0.0,     6.5,    25.8,     2.1,    11.9,
428,1995-10-16,,     0.0,     0.0,     4.5,    19.9,     2.9,     9.9,
428,1995-10-17,,     0.0,     0.0,     5.5,    20.1,     2.1,     9.2,
428,1995-10-18,,     0.0,     0.0,     7.0,    25.3,     3.6,    12.4,
428,1995-10-19,,     0.0,     0.0,     8.1,    26.7,     3.3,    11.9,
428,1995-10-20,,     0.0,     0.0,     8.7,    24.0,     4.6,    11.4,
428,1995-10-21,,     0.0,     0.0,     6.7,    20.2,     6.7,    11.7,
428,1995-10-22,,     0.0,     0.0,    -0.5,    15.4,    -0.5,     7.6,
428,1995-10-23,,     0.0,     0.0,     0.1,    12.3,    -3.1,     2.1,
428,1995-10-24,,     0.0,     0.0,    -0.6,    14.8,    -1.4,     4.4,
428,1995-10-25,,     0.0,     0.0,    -0.7,    14.9,    -2.7,     4.2,
428,1995-10-26,,     0.0,     0.0,     4.4,    15.0,    -2.6,     5.4,
428,1995-10-27,,     0.0,     0.0,     5.0,    27.7,     2.9,    10.6,
428,1995-10-28,,     0.0,     0.0,     8.6,    22.0,     4.0,    11.3,
428,1995-10-29,,     0.0,     0.0,     6.4,    21.5,     5.2,    11.4,
428,1995-10-30,,     0.0,     0.0,     4.9,    21.1,     3.6,    10.2,
428,1995-10-31,,     0.0,     0.0,     6.3,    16.8,     1.7,     8.0,
428,1995-11-01,,     0.0,     0.0,     3.7,    10.6,     3.7,     6.3,
428,1995-11-02,,     0.0,     0.2,    -0.2,    15.5,    -1.1,     5.2,
428,1995-11-03,,     0.0,     0.4,     0.0,    17.6,    -2.6,     4.3,
428,1995-11-04,,     0.0,     0.4,     1.8,    17.3,    -1.7,     4.5,
428,1995-11-05,,     0.0,     0.5,     1.0,    15.0,    -3.1,     4.2,
428,1995-11-06,,     0.0,     0.5,     1.4,     9.5,     0.0,     3.9,
428,1995-11-07,,     0.0,     0.5,     0.5,    12.7,    -1.5,     4.0,
428,1995-11-08,,     0.0,     0.5,     2.3,    19.0,     0.2,     7.0,
428,1995-11-09,,     0.0,     0.5,     5.3,    12.9,     0.9,     7.3,
428,1995-11-10,,     0.0,     0.5,     1.4,     8.4,     1.4,     4.4,
428,1995-11-11,,     0.0,     0.5,     1.5,    20.0,    -1.8,     5.4,
428,1995-11-12,,     0.0,     0.5,     3.4,    16.8,     0.0,     6.2,
428,1995-11-13,,     0.0,     0.5,     4.1,    17.1,     2.5,     8.0,
428,1995-11-14,,     0.0,     0.5,     5.4,    26.9,     3.2,    10.7,
428,1995-11-15,,     0.0,     0.5,     4.4,    24.9,     2.4,    10.5,
428,1995-11-16,,     0.0,     0.5,     4.1,    17.3,     2.2,     7.4,
428,1995-11-17,,     0.0,     0.5,     2.4,    15.0,     2.3,     7.5,
428,1995-11-18,,     0.0,     0.5,     4.4,    18.5,     0.0,     7.2,
428,1995-11-19,,     0.0,     0.5,     0.4,     9.8,     0.4,     5.0,
428,1995-11-20,,     0.0,     0.5,     1.0,    16.8,    -1.3,     5.4,
428,1995-11-21,,     0.0,     0.5,     4.6,    19.5,    -0.8,     7.2,
428,1995-11-22,,     0.0,     0.6,    -1.5,     8.2,    -1.5,     4.4,
428,1995-11-23,,     0.0,     0.6,     1.3,    14.4,    -2.3,     4.3,
428,1995-11-24,,     0.0,     0.6,     1.9,    23.1,    -0.9,     7.6,
428,1995-11-25,,     0.0,     0.7,     0.2,    15.7,     0.0,     6.5,
428,1995-11-26,,     0.0,     1.6,     0.4,     5.0,     0.4,     2.6,
428,1995-11-27,,     0.0,     1.8,    -3.9,    13.2,    -3.9,     1.1,
428,1995-11-28,,     0.0,     1.8,     2.0,    16.6,    -4.8,     1.7,
428,1995-11-29,,     0.0,     1.8,    -0.3,    13.9,    -0.5,     4.2,
428,1995-11-30,,     0.0,     1.8,     2.8,    16.8,    -2.1,     5.0,
428,1995-12-01,,     0.0,     1.8,     5.8,     5.8,     2.6,     4.1,
428,1995-12-02,,     0.0,     2.3,     3.4,     6.4,     1.2,     4.1,
428,1995-12-03,,     0.1,     2.5,    -1.4,     8.2,    -1.4,     2.3,
428,1995-12-04,,     0.0,     2.7,     3.2,     3.8,    -1.3,     1.1,
428,1995-12-05,,     0.0,     3.7,     4.4,     5.4,     3.1,     4.5,
428,1995-12-06,,     0.0,     4.0,     3.1,     5.6,     3.0,     4.5,
428,1995-12-07,,     0.0,     4.0,     0.1,     0.1,     0.1,     0.1,
428,1995-12-08,,     0.3,     4.3,    -0.7,    18.2,    -0.7,     5.4,
428,1995-12-09,,     0.3,     4.3,-99.9,-99.9,-99.9,-99.9,
428,1995-12-10,,     0.3,     4.3,    -0.2,    13.0,    -1.4,     4.2,
428,1995-12-11,,     0.2,     4.6,-99.9,-99.9,-99.9,-99.9,
428,1995-12-12,,     0.5,     8.2,     5.3,     5.3,     1.1,     3.6,
428,1995-12-13,,     0.9,    13.7,    -1.8,     5.2,    -1.9,     1.2,
428,1995-12-14,,     1.5,    14.3,    -2.6,     0.1,    -3.5,    -1.8,
428,1995-12-15,,     1.7,    14.6,    -2.1,     3.6,    -7.7,    -2.7,
428,1995-12-16,,     2.9,    16.0,    -7.8,    -1.3,    -7.8,    -3.4,
428,1995-12-17,,     2.9,    16.0,    -6.5,     0.8,    -7.9,    -4.5,
428,1995-12-18,,     2.9,    16.1,    -4.4,     6.7,    -9.9,    -3.9,
428,1995-12-19,,     2.9,    16.1,    -6.9,     6.6,    -6.9,    -2.6,
