

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:38 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
428,2005-10-01,,     0.0,     0.0,     9.0,    21.1,     5.2,    12.2,       0,
428,2005-10-02,,     0.0,     0.0,     7.2,    15.4,     7.2,    10.8,       0,
428,2005-10-03,,     0.0,     0.0,     2.1,    11.2,     1.9,     6.0,       0,
428,2005-10-04,,     0.0,     0.0,    -1.6,     8.2,    -1.7,     2.7,       0,
428,2005-10-05,,     0.0,     0.0,     2.9,     9.7,    -2.3,     3.2,       0,
428,2005-10-06,,     0.0,     0.0,     6.0,    15.1,     1.4,     7.1,       0,
428,2005-10-07,,     0.0,     0.0,     4.8,    19.3,     2.2,     9.7,       0,
428,2005-10-08,,     0.0,     0.0,     6.7,    16.7,     2.8,     9.3,       0,
428,2005-10-09,,     0.0,     0.0,     0.3,    12.8,     0.3,     6.4,       0,
428,2005-10-10,,     0.0,     0.0,     4.8,    15.2,    -0.5,     6.6,       0,
428,2005-10-11,,     0.0,     0.0,     3.8,    18.9,     3.2,     8.9,       0,
428,2005-10-12,,     0.0,     0.3,     7.1,    14.9,     2.6,     7.9,       0,
428,2005-10-13,,     0.0,     0.3,     4.8,    19.3,     2.3,     9.4,       0,
428,2005-10-14,,     0.0,     0.3,     5.4,    19.9,     2.8,    10.1,       0,
428,2005-10-15,,     0.0,     0.3,     6.0,    17.1,     3.5,     9.8,       0,
428,2005-10-16,,     0.0,     0.3,     3.3,     8.1,     0.6,     4.0,       0,
428,2005-10-17,,     0.0,     0.3,     8.4,    15.2,     2.7,     8.0,       0,
428,2005-10-18,,     0.0,     0.4,     6.6,    18.0,     5.9,    11.0,       0,
428,2005-10-19,,     0.0,     0.4,     6.1,    15.6,     3.6,     8.5,       0,
428,2005-10-20,,     0.0,     0.4,     1.5,    12.4,     1.4,     6.8,       0,
428,2005-10-21,,     0.0,     0.4,     7.3,    17.0,     0.6,     8.1,       0,
428,2005-10-22,,     0.0,     0.4,     3.9,    18.8,     3.8,     9.4,       0,
428,2005-10-23,,     0.0,     0.4,     4.2,    18.3,     2.3,     8.6,       0,
428,2005-10-24,,     0.0,     0.4,     4.1,    17.5,     2.1,     8.5,       0,
428,2005-10-25,,     0.0,     0.6,     7.1,    17.2,     3.4,     9.3,       0,
428,2005-10-26,,     0.0,     0.8,     4.8,    11.0,     4.7,     6.9,       0,
428,2005-10-27,,     0.0,     1.4,     3.9,     5.1,     2.5,     3.9,       0,
428,2005-10-28,,     0.0,     1.8,     1.2,     5.6,    -0.5,     2.1,       0,
428,2005-10-29,,     0.0,     2.2,     3.1,     3.6,     0.2,     2.3,       0,
428,2005-10-30,,     0.0,     2.5,    -0.4,     7.3,    -0.6,     3.5,       0,
428,2005-10-31,,     0.0,     2.5,     0.4,    12.0,    -2.7,     3.2,       0,
428,2005-11-01,,     0.0,     2.5,     2.7,    16.8,    -0.3,     6.6,       0,
428,2005-11-02,,     0.0,     2.5,     8.1,    14.3,     1.7,     7.5,       0,
428,2005-11-03,,     0.0,     2.5,    -1.9,     8.4,    -1.9,     2.9,       0,
428,2005-11-04,,     0.5,     2.7,     0.8,     1.6,    -2.5,    -0.6,       1,
428,2005-11-05,,     0.8,     2.9,    -0.8,     2.9,    -0.8,     1.0,       3,
428,2005-11-06,,     0.6,     3.1,     2.6,     6.1,    -2.4,     1.7,       2,
428,2005-11-07,,     0.0,     3.4,     3.1,     8.0,     2.5,     4.3,       0,
428,2005-11-08,,     0.0,     3.7,     3.5,     4.4,     2.7,     3.3,       0,
428,2005-11-09,,     0.0,     4.4,     3.2,     9.1,     3.2,     5.0,       0,
428,2005-11-10,,     0.0,     4.5,     4.9,    11.3,     2.2,     5.7,       0,
428,2005-11-11,,     0.0,     4.5,     0.7,    11.6,     0.5,     5.2,       0,
428,2005-11-12,,     0.0,     4.5,     1.2,     8.2,     0.0,     3.2,       0,
428,2005-11-13,,     0.0,     4.5,     0.3,    12.0,    -1.4,     3.3,       0,
428,2005-11-14,,     0.0,     4.5,     2.8,    11.0,     0.2,     5.2,       0,
428,2005-11-15,,     0.0,     4.5,     4.9,    11.3,     0.7,     5.7,       0,
428,2005-11-16,,     0.0,     4.5,     0.9,    10.0,    -0.1,     3.5,       0,
428,2005-11-17,,     0.0,     4.5,     1.9,    15.9,    -1.3,     5.2,       0,
428,2005-11-18,,     0.0,     4.5,     4.8,    13.8,     0.4,     6.0,       0,
428,2005-11-19,,     0.0,     4.5,     0.5,    17.7,    -0.3,     7.0,       0,
428,2005-11-20,,     0.0,     4.5,     3.2,    16.6,    -0.9,     6.3,       0,
428,2005-11-21,,     0.0,     4.5,     2.4,    17.0,     0.6,     6.5,       0,
428,2005-11-22,,     0.0,     4.5,     0.6,    15.6,     0.3,     5.5,       0,
428,2005-11-23,,     0.0,     4.5,     0.5,    13.9,    -1.2,     4.6,       0,
428,2005-11-24,,     0.0,     4.5,     0.0,    13.4,    -1.0,     4.4,       0,
428,2005-11-25,,     0.0,     4.5,     4.9,    11.5,    -1.1,     4.5,       0,
428,2005-11-26,,     0.1,     5.0,    -2.2,     6.0,    -2.4,     1.7,       1,
428,2005-11-27,,     0.2,     5.3,    -7.6,     0.0,    -8.2,    -4.2,       2,
428,2005-11-28,,     0.2,     5.3,    -4.8,     2.7,    -9.0,    -3.6,       3,
428,2005-11-29,,     1.4,     6.2,     0.7,     0.7,    -4.8,    -2.4,      10,
428,2005-11-30,,     1.8,     7.2,    -0.3,     3.0,    -0.3,     1.6,       8,
428,2005-12-01,,     1.8,     7.7,     3.5,     3.8,    -4.0,     0.2,       9,
428,2005-12-02,,     2.1,    12.9,    -0.2,     3.9,    -0.2,     2.7,       7,
428,2005-12-03,,     2.1,    13.5,    -5.7,    -0.1,    -5.9,    -3.2,      10,
428,2005-12-04,,     2.1,    13.5,    -6.9,     0.4,    -8.1,    -4.9,      11,
428,2005-12-05,,     2.1,    13.5,    -7.4,     3.6,    -8.1,    -3.9,      10,
428,2005-12-06,,     2.2,    13.6,    -5.3,     6.4,    -8.5,    -2.8,      11,
428,2005-12-07,,     2.3,    13.7,     0.0,     8.8,    -7.9,    -1.1,       9,
428,2005-12-08,,     2.4,    13.8,     0.9,     5.3,    -1.3,     1.0,      10,
428,2005-12-09,,     2.4,    13.8,    -1.5,     4.7,    -1.6,     0.7,      10,
428,2005-12-10,,     2.4,    13.8,    -3.2,     3.9,    -3.7,    -1.4,      10,
428,2005-12-11,,     2.4,    13.8,    -5.3,     4.8,    -5.9,    -1.8,       9,
428,2005-12-12,,     2.4,    13.8,    -3.3,     6.8,    -5.6,    -1.1,      10,
428,2005-12-13,,     2.4,    13.8,    -0.5,     6.0,    -3.8,     0.2,      10,
428,2005-12-14,,     2.4,    13.8,    -3.5,     7.1,    -3.5,     0.4,      10,
428,2005-12-15,,     2.4,    13.8,    -6.6,     1.2,    -6.6,    -3.3,      11,
428,2005-12-16,,     2.4,    13.8,    -4.9,     8.2,    -8.1,    -2.0,      11,
428,2005-12-17,,     2.4,    13.8,    -5.0,     9.3,    -7.3,    -1.5,      11,
428,2005-12-18,,     2.6,    14.0,     0.6,     1.1,    -5.6,    -2.0,      12,
428,2005-12-19,,     5.8,    16.9,     2.4,     2.8,    -0.4,     1.0,      25,
428,2005-12-20,,     5.4,    17.5,     2.2,     4.5,     1.1,     3.1,      23,
428,2005-12-21,,     5.3,    17.6,     5.9,     9.7,     0.6,     5.0,      20,
428,2005-12-22,,     5.5,    19.8,     5.4,     6.6,     0.8,     4.0,      18,
428,2005-12-23,,     4.7,    22.7,     5.4,     5.9,     4.6,     5.3,      13,
428,2005-12-24,,     4.3,    22.9,     0.6,    12.4,     0.4,     4.8,      14,
428,2005-12-25,,     4.1,    23.1,     5.5,    13.5,    -0.2,     5.7,      13,
428,2005-12-26,,     5.1,    23.6,     0.1,     6.3,    -0.3,     3.1,      21,
428,2005-12-27,,     6.6,    24.8,    -2.4,     1.6,    -2.6,    -1.1,      31,
428,2005-12-28,,     7.2,    26.4,     3.5,     3.5,    -2.7,     0.4,      28,
428,2005-12-29,,     9.0,    29.0,    -2.4,     4.0,    -2.4,     0.6,      35,
428,2005-12-30,,     9.2,    29.4,    -2.0,     2.5,    -5.8,    -2.3,      35,
428,2005-12-31,,     9.7,    33.2,     4.0,     4.3,    -2.1,     2.0,      31,
428,2006-01-01,,    10.0,    37.6,    -2.7,     4.1,    -2.7,     0.6,      32,
428,2006-01-02,,    11.7,    38.5,     0.2,     1.7,    -4.2,    -0.8,      39,
428,2006-01-03,,    13.0,    40.3,    -2.0,     1.1,    -2.0,    -0.3,      47,
428,2006-01-04,,    13.4,    40.9,    -1.0,    -1.0,    -4.4,    -2.9,      48,
428,2006-01-05,,    13.6,    41.4,     0.2,     7.2,    -1.1,     1.4,      45,
428,2006-01-06,,    13.6,    41.5,    -0.1,    11.4,    -1.5,     2.7,      44,
428,2006-01-07,,    13.6,    41.5,     2.7,    12.9,    -0.7,     4.4,      42,
428,2006-01-08,,    14.1,    41.7,    -1.3,     3.6,    -1.4,     0.2,      44,
428,2006-01-09,,    14.4,    42.0,    -3.6,     6.3,    -3.8,    -0.5,      43,
428,2006-01-10,,    14.4,    42.0,    -2.1,    10.4,    -5.3,     0.0,      42,
428,2006-01-11,,    14.4,    42.0,    -0.1,     7.5,    -4.7,     1.2,      42,
428,2006-01-12,,    14.4,    42.0,    -3.6,     3.0,    -3.6,     0.8,      41,
428,2006-01-13,,    14.4,    42.0,     0.2,     9.2,    -5.5,     0.6,      40,
428,2006-01-14,,    14.4,    42.0,     2.9,     6.8,    -0.3,     3.5,      40,
428,2006-01-15,,    18.2,    45.3,    -4.5,     3.3,    -4.5,    -1.8,      61,
428,2006-01-16,,    18.2,    45.3,    -9.6,    -1.3,   -11.7,    -6.4,      57,
428,2006-01-17,,    18.4,    45.5,    -2.0,     1.1,   -10.7,    -3.3,      55,
428,2006-01-18,,    19.2,    46.2,    -1.1,     2.2,    -2.2,     0.1,      57,
428,2006-01-19,,    21.6,    48.3,    -5.0,    -0.9,    -5.0,    -3.4,      70,
428,2006-01-20,,    21.7,    48.4,   -11.8,     0.9,   -11.9,    -6.1,      68,
428,2006-01-21,,    21.8,    48.5,    -4.2,     0.5,   -13.1,    -6.3,      65,
428,2006-01-22,,    21.8,    48.5,    -2.9,     3.0,    -8.7,    -2.6,      64,
428,2006-01-23,,    21.8,    48.5,    -3.8,     1.1,    -5.6,    -3.2,      63,
428,2006-01-24,,    21.8,    48.5,    -0.6,     5.0,    -4.4,     0.2,      61,
428,2006-01-25,,    21.8,    48.5,    -4.9,     9.8,    -4.9,     0.9,      60,
428,2006-01-26,,    21.8,    48.5,    -2.2,     6.3,    -6.3,    -1.0,      59,
428,2006-01-27,,    21.8,    48.5,    -5.3,    -0.2,    -5.4,    -2.7,      61,
428,2006-01-28,,    21.8,    48.5,    -3.6,     0.1,    -5.4,    -3.4,      63,
428,2006-01-29,,    22.2,    49.1,    -0.5,    -0.1,    -3.7,    -2.3,      68,
428,2006-01-30,,    22.5,    49.1,     0.9,     1.6,    -1.7,    -0.2,      66,
