

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:03:44 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
428,1988-10-01,,     0.0,     0.0,     7.8,    27.3,     6.8,    15.3,
428,1988-10-02,,     0.0,     0.0,     5.8,    24.5,     5.8,    13.9,
428,1988-10-03,,     0.0,     0.0,     4.5,    24.0,     3.6,    12.3,
428,1988-10-04,,     0.0,     0.0,     5.4,    24.6,     2.8,    12.2,
428,1988-10-05,,     0.0,     0.0,     5.6,    18.9,     3.4,    10.6,
428,1988-10-06,,     0.0,     0.0,     4.3,    21.0,     3.6,    10.0,
428,1988-10-07,,     0.0,     0.0,     4.4,    21.0,     3.4,    10.7,
428,1988-10-08,,     0.0,     0.0,     4.6,    22.4,     2.9,    10.9,
428,1988-10-09,,     0.0,     0.0,     6.8,    26.1,     2.5,    12.5,
428,1988-10-10,,     0.0,     0.0,     7.2,    26.1,     4.9,    13.7,
428,1988-10-11,,     0.0,     0.2,     4.1,    21.7,     4.9,    11.7,
428,1988-10-12,,     0.0,     0.2,     2.3,    16.1,     3.4,     7.9,
428,1988-10-13,,     0.0,     0.2,     3.7,    17.4,     0.8,     7.6,
428,1988-10-14,,     0.0,     0.2,     1.6,    11.9,     2.5,     5.2,
428,1988-10-15,,     0.0,     0.2,     7.0,     2.8,    -0.9,     0.7,
428,1988-10-16,,     0.0,     0.2,     9.4,    25.2,     3.6,    12.4,
428,1988-10-17,,     0.0,     0.2,     6.6,    27.7,     6.4,    14.5,
428,1988-10-18,,     0.0,     0.2,     6.4,    31.1,     4.9,    14.2,
428,1988-10-19,,     0.0,     0.3,     5.2,    25.2,     4.6,    13.5,
428,1988-10-20,,     0.0,     0.3,     5.8,    28.1,     2.8,    13.0,
428,1988-10-21,,     0.0,     0.3,     5.3,    27.7,     5.7,    13.4,
428,1988-10-22,,     0.0,     0.3,     3.7,    23.8,     3.5,    12.2,
428,1988-10-23,,     0.0,     0.3,     5.1,    23.7,     2.0,    11.3,
428,1988-10-24,,     0.0,     0.3,     4.7,    25.0,     2.9,    11.9,
428,1988-10-25,,     0.0,     0.3,     6.0,    27.0,     3.3,    12.2,
428,1988-10-26,,     0.0,     0.3,     4.1,    27.2,     4.1,    12.7,
428,1988-10-27,,     0.0,     0.3,     3.8,    21.7,     1.7,    10.1,
