

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:08 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
428,1996-10-01,,     0.0,     0.0,     8.6,    22.3,     8.6,    13.5,
428,1996-10-02,,     0.0,     0.0,     7.3,    23.0,     6.4,    11.6,
428,1996-10-03,,     0.0,     0.0,     7.9,    22.6,     5.8,    12.8,
428,1996-10-04,,     0.0,     0.0,-99.9,-99.9,-99.9,-99.9,
428,1996-10-05,,     0.0,     0.0,-99.9,-99.9,-99.9,-99.9,
428,1996-10-06,,     0.0,     0.0,-99.9,-99.9,-99.9,-99.9,
428,1996-10-07,,     0.0,     0.0,-99.9,-99.9,-99.9,-99.9,
428,1996-10-08,,     0.0,     0.0,    10.2,    28.3,-99.9,-99.9,
428,1996-10-09,,     0.0,     0.0,    11.5,    28.2,     8.2,    16.7,
428,1996-10-10,,     0.0,     0.0,    11.0,    25.3,     7.9,    15.5,
428,1996-10-11,,     0.0,     0.0,     6.4,    20.3,     6.4,    12.6,
428,1996-10-12,,     0.0,     0.0,     4.7,    18.4,     3.6,    10.1,
428,1996-10-13,,     0.0,     0.0,     4.9,    14.7,     2.3,     7.8,
428,1996-10-14,,     0.0,     0.0,     1.7,    14.2,     1.7,     7.0,
428,1996-10-15,,     0.0,     0.0,     3.7,    18.4,     0.2,     7.5,
428,1996-10-16,,     0.0,     0.0,     2.7,    14.9,     0.6,     6.3,
428,1996-10-17,,     0.0,     0.0,    -0.1,    13.2,    -2.0,     4.0,
428,1996-10-18,,     0.0,     0.0,     4.1,    15.8,    -2.3,     5.5,
428,1996-10-19,,     0.3,     0.3,    -0.7,     5.2,    -0.8,     2.0,
428,1996-10-20,,     0.2,     0.5,    -5.1,     1.1,    -5.1,    -2.5,
428,1996-10-21,,     0.0,     0.7,    -4.3,     5.5,    -6.6,    -2.0,
428,1996-10-22,,     0.0,     0.8,    -1.8,    11.1,    -5.7,     0.5,
428,1996-10-23,,     0.0,     1.2,    -0.3,    12.1,    -3.5,     2.6,
428,1996-10-24,,     0.0,     1.2,     1.9,    13.9,    -2.3,     3.8,
