

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:48 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
428,2008-10-01,,     0.0,     0.0,     9.7,    20.9,     7.3,    13.2,       0,
428,2008-10-02,,     0.0,     0.0,    11.0,    20.2,     6.5,    13.0,       0,
428,2008-10-03,,     0.0,     0.0,     9.0,    12.7,     8.9,    10.6,       0,
428,2008-10-04,,     0.0,     1.3,     5.5,    12.7,     5.3,     7.5,       0,
428,2008-10-05,,     0.0,     2.3,     4.4,     5.7,     4.2,     4.9,       0,
428,2008-10-06,,     0.0,     2.3,     1.7,    11.3,     1.3,     5.3,       0,
428,2008-10-07,,     0.0,     2.3,     4.6,    19.2,     1.0,     8.8,       0,
428,2008-10-08,,     0.0,     2.3,     4.7,    19.4,     2.8,     9.8,       0,
428,2008-10-09,,     0.0,     2.3,     4.7,    18.9,     3.0,     9.7,       0,
428,2008-10-10,,     0.0,     2.3,    -1.1,    10.8,    -1.2,     4.9,       0,
428,2008-10-11,,     0.0,     2.3,    -3.2,     2.1,    -4.3,    -1.8,       0,
428,2008-10-12,,     0.0,     2.4,    -3.4,     2.2,    -4.2,    -1.9,       0,
428,2008-10-13,,     0.0,     2.4,     1.4,     6.3,    -4.9,     0.1,       0,
428,2008-10-14,,     0.0,     2.4,     4.4,    13.9,     1.0,     6.4,       0,
428,2008-10-15,,     0.0,     2.4,     3.3,    18.6,     1.8,     8.4,       0,
428,2008-10-16,,     0.0,     2.4,     3.3,    17.9,     1.8,     8.1,       0,
428,2008-10-17,,     0.0,     2.4,     5.7,    20.2,     2.4,     9.5,       0,
428,2008-10-18,,     0.0,     2.4,     3.6,    18.5,     3.6,     9.3,       0,
428,2008-10-19,,     0.0,     2.4,     2.7,    14.5,     2.7,     7.2,       0,
428,2008-10-20,,     0.0,     2.4,     2.2,    13.7,     1.5,     6.0,       0,
428,2008-10-21,,     0.0,     2.4,     1.2,    13.6,     0.6,     5.8,       0,
428,2008-10-22,,     0.0,     2.4,     5.6,    13.9,    -0.2,     6.5,       0,
428,2008-10-23,,     0.0,     2.4,     3.1,    17.0,     2.5,     7.9,       0,
428,2008-10-24,,     0.0,     2.4,     3.5,    20.4,     2.2,     8.7,       0,
428,2008-10-25,,     0.0,     2.4,     5.0,    19.9,     2.1,     9.1,       0,
428,2008-10-26,,     0.0,     2.4,     6.5,    22.5,     3.3,    10.1,       0,
428,2008-10-27,,     0.0,     2.4,     5.2,    20.9,     5.1,    10.7,       0,
428,2008-10-28,,     0.0,     2.4,     6.2,    19.2,     3.0,     9.4,       0,
428,2008-10-29,,     0.0,     2.4,     3.4,    17.3,     3.1,     8.8,       0,
428,2008-10-30,,     0.0,     2.4,     2.8,    16.8,     1.9,     7.7,       0,
428,2008-10-31,,     0.0,     2.4,     6.7,    14.3,     2.6,     7.8,       0,
428,2008-11-01,,     0.0,     3.3,     5.2,     7.2,     3.6,     5.3,       0,
428,2008-11-02,,     0.0,     6.7,     2.1,     6.6,     2.1,     5.1,       0,
428,2008-11-03,,     0.0,     7.8,     1.7,     3.0,     1.4,     1.9,       0,
428,2008-11-04,,     1.7,     9.1,    -0.5,     2.1,    -0.6,     1.0,       9,
428,2008-11-05,,     1.9,     9.7,    -3.9,    -0.1,    -4.0,    -2.1,      10,
428,2008-11-06,,     1.9,     9.7,     0.3,     2.0,    -8.0,    -1.9,      10,
