

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:05:23 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
428,2020-10-01,,     0.0,     0.0,    14.1,    24.2,     8.2,    15.0,       0,
428,2020-10-02,,     0.0,     0.0,    10.8,    25.4,    10.8,    16.7,       0,
428,2020-10-03,,     0.0,     0.0,    10.5,    26.1,     8.9,    15.6,       0,
428,2020-10-04,,     0.0,     0.0,     9.6,    25.1,     8.7,    15.1,       0,
428,2020-10-05,,     0.0,     0.0,     7.2,    23.0,     6.4,    13.0,       0,
428,2020-10-06,,     0.0,     0.0,     8.1,    23.7,     5.5,    12.9,       0,
428,2020-10-07,,     0.0,     0.0,     8.3,    23.0,     6.4,    13.0,       0,
428,2020-10-08,,     0.0,     0.0,     6.0,    21.8,     6.0,    12.4,       0,
428,2020-10-09,,     0.0,     0.0,     5.5,    17.2,     5.3,    10.2,       0,
428,2020-10-10,,     0.0,     0.0,     6.7,    19.3,     4.0,     9.6,       0,
428,2020-10-11,,     0.0,     0.0,     6.7,    13.3,     5.3,     8.5,       0,
428,2020-10-12,,     0.0,     0.0,     4.8,    19.2,     2.6,     9.2,       0,
428,2020-10-13,,     0.0,     0.0,     5.6,    19.8,     3.9,    10.4,       0,
428,2020-10-14,,     0.0,     0.0,     7.3,    21.0,     4.9,    11.4,       0,
428,2020-10-15,,     0.0,     0.0,    10.5,    23.2,     6.1,    12.8,       0,
428,2020-10-16,,     0.0,     0.0,     9.7,    19.3,     8.1,    12.7,       0,
428,2020-10-17,,     0.0,     0.0,     7.6,    20.5,     7.1,    12.3,       0,
428,2020-10-18,,     0.0,     0.0,     7.4,    23.6,     5.4,    12.7,       0,
428,2020-10-19,,     0.0,     0.0,     6.6,    20.9,     5.2,    11.4,       0,
428,2020-10-20,,     0.0,     0.0,     7.0,    21.3,     4.6,    11.3,       0,
428,2020-10-21,,     0.0,     0.0,     7.2,    22.4,     6.8,    12.1,       0,
428,2020-10-22,,     0.0,     0.0,     5.3,    20.1,     4.8,    10.8,       0,
428,2020-10-23,,     0.0,     0.0,     3.2,    16.3,     3.2,     7.8,       0,
428,2020-10-24,,     0.0,     0.0,     2.9,    17.1,     0.0,     7.2,       0,
428,2020-10-25,,     0.0,     0.0,     2.4,    15.0,     1.7,     6.9,       0,
428,2020-10-26,,     0.0,     0.0,    -3.5,     8.1,    -3.6,     1.8,       0,
428,2020-10-27,,     0.0,     0.0,     3.4,     8.8,    -4.6,     1.4,       0,
428,2020-10-28,,     0.0,     0.1,     8.4,    14.9,     2.9,     8.0,       0,
428,2020-10-29,,     0.0,     0.1,     5.6,    19.3,     3.8,    10.2,       0,
428,2020-10-30,,     0.0,     0.1,     3.4,    19.7,     2.7,     9.0,       0,
428,2020-10-31,,     0.0,     0.1,     3.3,    19.0,     1.5,     8.2,       0,
428,2020-11-01,,     0.0,     0.1,     5.6,    20.3,     2.0,     9.3,       0,
428,2020-11-02,,     0.0,     0.1,     5.2,    20.6,     3.1,     9.8,       0,
428,2020-11-03,,     0.0,     0.1,     4.2,    20.9,     3.6,     9.7,       0,
428,2020-11-04,,     0.0,     0.1,     3.5,    17.2,     3.0,     8.4,       0,
428,2020-11-05,,     0.0,     0.1,     5.4,    18.4,     2.0,     8.5,       0,
428,2020-11-06,,     0.0,     0.1,     7.0,    20.8,     3.5,     9.4,       0,
428,2020-11-07,,     0.0,     0.1,    -3.0,     8.9,    -3.0,     2.2,       0,
428,2020-11-08,,     0.3,     0.4,    -2.7,    -0.1,    -6.1,    -2.8,       3,
428,2020-11-09,,     0.8,     0.8,    -6.9,    -1.9,    -7.3,    -5.1,       8,
428,2020-11-10,,     0.8,     0.8,    -6.1,     2.0,    -9.6,    -4.6,       5,
428,2020-11-11,,     0.8,     0.8,    -3.7,     8.1,    -6.2,    -0.4,       4,
428,2020-11-12,,     0.8,     0.8,    -6.1,     6.4,    -6.1,    -1.3,       4,
428,2020-11-13,,     0.9,     0.9,    -0.4,     8.6,    -7.4,    -0.9,       3,
428,2020-11-14,,     2.0,     1.9,     0.5,     1.7,    -1.0,     0.5,       7,
428,2020-11-15,,     2.0,     1.9,    -3.4,     3.9,    -5.3,    -0.6,       6,
428,2020-11-16,,     2.0,     1.9,    -0.9,     7.9,    -4.2,     0.7,       4,
428,2020-11-17,,     2.1,     2.0,     8.1,    16.6,    -1.6,     4.6,       4,
428,2020-11-18,,     3.1,     3.0,     0.6,     9.2,     0.6,     5.2,      15,
428,2020-11-19,,     5.1,     5.8,    -0.7,     1.8,    -0.7,     0.9,      18,
428,2020-11-20,,     5.1,     5.8,    -4.3,     4.3,    -4.7,    -1.2,      15,
428,2020-11-21,,     5.1,     5.8,    -3.8,     4.9,    -5.6,    -1.7,      15,
