

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:33 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
428,2003-10-01,,     0.0,     0.0,    10.6,    22.1,     6.1,    13.6,
428,2003-10-02,,     0.0,     0.0,     6.4,    20.2,     6.4,    12.4,
428,2003-10-03,,     0.0,     0.0,     8.4,    21.0,     4.1,    10.5,
428,2003-10-04,,     0.0,     0.0,    10.2,    22.5,     5.4,    12.3,
428,2003-10-05,,     0.0,     0.0,     7.3,    20.2,     7.3,    12.1,
428,2003-10-06,,     0.0,     0.0,     7.7,    19.2,     4.0,    11.0,
428,2003-10-07,,     0.0,     0.0,     7.5,    22.5,     6.2,    12.7,
428,2003-10-08,,     0.0,     0.0,     8.3,    20.1,     5.4,    11.9,
428,2003-10-09,,     0.0,     0.0,     7.8,    20.1,     5.6,    12.0,
428,2003-10-10,,     0.0,     0.0,     3.0,    17.4,     3.0,     9.9,
428,2003-10-11,,     0.0,     0.1,     2.6,    14.7,    -1.0,     5.5,
428,2003-10-12,,     0.0,     0.1,     4.8,    19.6,     0.2,     8.8,
428,2003-10-13,,     0.0,     0.1,     4.3,    20.4,     2.4,     9.4,
428,2003-10-14,,     0.0,     0.1,     4.2,    21.7,     2.9,     9.9,
428,2003-10-15,,     0.0,     0.1,     4.5,    18.4,     3.2,     9.4,
428,2003-10-16,,     0.0,     0.1,     4.1,    15.7,     0.6,     7.8,
428,2003-10-17,,     0.0,     0.1,     5.7,    19.8,     1.6,     9.5,
428,2003-10-18,,     0.0,     0.1,     5.1,    21.0,     3.2,    10.7,
428,2003-10-19,,     0.0,     0.1,     6.5,    20.5,     2.7,    10.5,
428,2003-10-20,,     0.0,     0.1,     7.5,    20.2,     5.1,    11.6,
428,2003-10-21,,     0.0,     0.1,     7.8,    22.9,     4.6,    12.6,
428,2003-10-22,,     0.0,     0.1,     7.8,    24.7,     5.0,    13.2,
428,2003-10-23,,     0.0,     0.1,     8.2,    20.0,     4.1,    11.6,
428,2003-10-24,,     0.0,     0.1,     7.4,    20.1,     3.9,    10.5,
428,2003-10-25,,     0.0,     0.1,     8.7,    21.0,     2.4,    10.7,
428,2003-10-26,,     0.0,     0.1,     8.3,    21.1,     6.4,    11.4,
428,2003-10-27,,     0.0,     0.1,    11.4,    23.0,     5.3,    12.8,
428,2003-10-28,,     0.0,     0.1,    12.6,    23.1,     5.3,    13.4,
428,2003-10-29,,     0.0,     0.1,     9.0,    25.7,     9.0,    16.0,
428,2003-10-30,,     0.0,     0.1,    -0.3,    14.4,    -0.3,     8.5,
428,2003-10-31,,     0.0,     0.1,    -5.5,     4.2,    -5.5,    -2.0,
428,2003-11-01,,     1.1,     1.0,    -4.8,    -2.6,    -5.7,    -4.7,
428,2003-11-02,,     1.2,     1.2,    -8.8,     4.4,    -8.8,    -3.9,
428,2003-11-03,,     1.2,     1.2,    -4.9,    -2.5,   -10.2,    -5.8,
428,2003-11-04,,     1.5,     1.9,   -10.3,     1.0,   -10.3,    -4.5,
428,2003-11-05,,     1.5,     1.9,    -4.5,     3.5,   -11.6,    -4.6,
428,2003-11-06,,     1.5,     1.9,    -5.8,     3.0,    -5.8,    -1.9,
428,2003-11-07,,     1.5,     1.9,    -1.2,     6.6,    -8.3,    -1.4,
428,2003-11-08,,     1.5,     1.9,     0.4,     1.4,    -1.5,    -0.1,
428,2003-11-09,,     2.1,     2.2,    -1.8,     2.8,    -1.8,     0.7,
428,2003-11-10,,     2.8,     3.5,    -1.9,     0.3,    -2.0,    -1.2,
428,2003-11-11,,     2.8,     3.6,    -4.7,     8.3,    -7.0,    -1.1,
428,2003-11-12,,     2.7,     3.7,    -2.1,     9.6,    -6.9,    -0.1,
428,2003-11-13,,     2.6,     3.7,    -1.8,     7.5,    -3.0,     1.3,
428,2003-11-14,,     2.5,     3.7,     0.1,     1.8,    -2.6,    -0.4,
