

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:27 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
428,2001-10-01,,     0.0,     0.0,    10.5,    26.4,     7.0,    15.3,
428,2001-10-02,,     0.0,     0.0,    10.7,    24.0,     7.9,    14.9,
428,2001-10-03,,     0.0,     0.0,    10.2,    26.2,     8.2,    15.6,
428,2001-10-04,,     0.0,     0.0,     9.8,    25.8,     7.6,    15.2,
428,2001-10-05,,     0.0,     0.0,     7.6,    22.0,     5.7,    13.0,
428,2001-10-06,,     0.0,     0.0,     6.8,    20.4,     5.3,    11.1,
428,2001-10-07,,     0.0,     0.0,     6.7,    20.9,     4.0,    10.7,
428,2001-10-08,,     0.0,     0.0,     7.1,    18.5,     4.4,    10.6,
428,2001-10-09,,     0.0,     0.3,     2.1,    14.2,     2.1,     8.2,
428,2001-10-10,,     0.0,     0.3,     4.0,    16.9,    -1.3,     6.7,
428,2001-10-11,,     0.0,     0.3,     5.5,    16.8,     0.6,     8.4,
428,2001-10-12,,     0.0,     0.3,     3.8,    13.2,     3.6,     8.3,
428,2001-10-13,,     0.0,     0.3,     4.7,    19.1,     1.9,     9.0,
428,2001-10-14,,     0.0,     0.3,    10.8,    24.0,     2.4,    12.3,
428,2001-10-15,,     0.0,     0.3,     6.7,    22.5,     6.3,    12.8,
428,2001-10-16,,     0.0,     0.3,     7.5,    21.9,     5.1,    12.2,
428,2001-10-17,,     0.0,     0.3,     7.6,    18.7,     5.1,    11.0,
428,2001-10-18,,     0.0,     0.3,     4.7,    16.6,     4.7,     9.6,
428,2001-10-19,,     0.0,     0.3,     6.2,    21.3,     2.1,    10.5,
428,2001-10-20,,     0.0,     0.3,     8.7,    18.6,     3.1,    10.4,
428,2001-10-21,,     0.0,     0.3,     4.6,    19.4,     2.3,     9.6,
428,2001-10-22,,     0.0,     0.3,     3.2,    16.2,     2.1,     8.0,
428,2001-10-23,,     0.0,     0.3,     4.6,    16.1,     1.3,     7.4,
428,2001-10-24,,     0.0,     0.3,     2.7,    17.4,     2.6,     7.9,
428,2001-10-25,,     0.0,     0.3,     4.0,    20.2,     0.6,     8.2,
428,2001-10-26,,     0.0,     0.3,     4.6,    22.8,     1.8,     9.2,
428,2001-10-27,,     0.0,     0.3,     4.5,    19.0,     2.5,     9.1,
428,2001-10-28,,     0.0,     0.3,     4.4,    14.5,     3.8,     7.7,
428,2001-10-29,,     0.0,     0.3,-99.9,-99.9,-99.9,-99.9,
428,2001-10-30,,     0.0,     0.3,-99.9,-99.9,-99.9,-99.9,
428,2001-10-31,,     0.0,     2.1,-99.9,-99.9,-99.9,-99.9,
428,2001-11-01,,     0.0,     2.2,-99.9,-99.9,-99.9,-99.9,
428,2001-11-02,,     0.0,     2.2,-99.9,-99.9,-99.9,-99.9,
428,2001-11-03,,     0.0,     2.2,-99.9,-99.9,-99.9,-99.9,
428,2001-11-04,,     0.0,     2.2,     8.3,-99.9,-99.9,-99.9,
428,2001-11-05,,     0.0,     2.2,-99.9,-99.9,-99.9,-99.9,
428,2001-11-06,,     0.0,     2.2,-99.9,-99.9,-99.9,-99.9,
428,2001-11-07,,     0.0,     2.2,-99.9,-99.9,-99.9,-99.9,
428,2001-11-08,,     0.0,     2.2,     3.1,    15.0,    -2.2,     4.5,
428,2001-11-09,,     0.0,     2.2,-99.9,-99.9,-99.9,-99.9,
428,2001-11-10,,     0.0,     2.2,-99.9,-99.9,-99.9,-99.9,
428,2001-11-11,,     0.0,     2.2,-99.9,-99.9,-99.9,-99.9,
428,2001-11-12,,     0.0,     3.3,-99.9,-99.9,-99.9,-99.9,
428,2001-11-13,,     0.5,     4.1,-99.9,-99.9,-99.9,-99.9,
428,2001-11-14,,     0.6,     4.3,-99.9,-99.9,-99.9,-99.9,
428,2001-11-15,,     0.0,     4.3,-99.9,-99.9,-99.9,-99.9,
428,2001-11-16,,     0.0,     4.3,-99.9,-99.9,-99.9,-99.9,
428,2001-11-17,,     0.0,     4.3,-99.9,-99.9,-99.9,-99.9,
428,2001-11-18,,     0.0,     4.3,-99.9,-99.9,-99.9,-99.9,
