

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:15 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
428,1998-10-01,,     0.0,     0.0,     6.0,    18.8,     3.9,     9.5,
428,1998-10-02,,     0.0,     0.0,     5.4,    15.3,     5.1,     8.9,
428,1998-10-03,,     0.0,     0.1,     1.9,    11.1,     1.9,     5.2,
428,1998-10-04,,     0.0,     0.1,    -1.4,     7.7,    -1.4,     2.4,
428,1998-10-05,,     0.0,     0.1,     3.0,    14.6,    -2.5,     4.2,
428,1998-10-06,,     0.0,     0.1,     5.4,    16.0,     1.2,     6.6,
428,1998-10-07,,     0.0,     0.1,     2.7,    16.0,     1.5,     7.8,
428,1998-10-08,,     0.0,     0.1,     5.0,    14.3,    -0.9,     6.5,
428,1998-10-09,,     0.0,     0.1,     1.0,    13.1,     1.0,     6.3,
428,1998-10-10,,     0.0,     0.3,     0.8,    11.3,    -1.6,     3.9,
428,1998-10-11,,     0.0,     0.3,     0.6,    14.1,    -3.5,     4.1,
428,1998-10-12,,     0.0,     0.3,     1.7,    17.3,    -1.8,     6.4,
428,1998-10-13,,     0.0,     0.3,     5.4,    16.1,     0.1,     7.1,
428,1998-10-14,,     0.0,     0.3,     1.7,    11.3,     1.7,     6.2,
428,1998-10-15,,     0.0,     0.3,     0.0,    11.7,    -0.9,     3.7,
428,1998-10-16,,     0.0,     0.3,    -1.8,     9.7,    -2.7,     1.5,
428,1998-10-17,,     0.0,     0.3,    -0.9,     6.9,    -3.8,     0.3,
428,1998-10-18,,     0.0,     0.3,     0.6,    16.2,    -2.7,     4.5,
428,1998-10-19,,     0.0,     0.3,     4.6,    13.2,    -1.6,     5.1,
428,1998-10-20,,     0.0,     0.3,     5.4,    15.1,     2.9,     7.4,
428,1998-10-21,,     0.0,     0.3,     7.0,    13.9,     3.2,     7.5,
428,1998-10-22,,     0.0,     0.4,     3.6,    17.6,     1.8,     7.6,
428,1998-10-23,,     0.0,     0.4,     0.6,    15.0,    -0.8,     6.0,
428,1998-10-24,,     0.0,     0.4,     6.2,    15.2,    -1.5,     6.3,
428,1998-10-25,,     0.7,     1.1,    -0.7,     6.9,    -0.7,     2.3,
428,1998-10-26,,     0.7,     1.5,     2.4,     5.9,    -2.0,     1.7,
428,1998-10-27,,     0.2,     1.7,     1.0,    12.6,     0.8,     5.1,
428,1998-10-28,,     0.1,     1.7,     3.5,    10.2,    -1.0,     3.8,
428,1998-10-29,,     0.0,     1.7,     1.9,     6.9,     1.4,     3.5,
428,1998-10-30,,     0.4,     2.2,    -2.4,     3.2,    -2.7,     0.6,
428,1998-10-31,,     0.3,     2.2,    -1.8,     5.5,    -3.6,    -0.2,
428,1998-11-01,,     0.1,     2.6,     1.8,    13.3,    -4.2,     2.4,
428,1998-11-02,,     0.0,     2.8,    -3.6,     6.7,    -3.6,     1.4,
428,1998-11-03,,     0.0,     2.8,    -1.4,     9.1,    -6.4,     0.2,
428,1998-11-04,,     0.0,     2.8,    -1.3,     8.9,    -1.3,     2.3,
428,1998-11-05,,     0.0,     2.8,    -0.5,     9.5,    -2.0,     2.2,
428,1998-11-06,,     0.0,     2.8,    -2.0,     6.8,    -2.1,     0.2,
428,1998-11-07,,     0.3,     3.3,    -3.3,    -2.1,    -3.8,    -3.1,
428,1998-11-08,,     2.0,     4.6,    -3.9,    -0.1,    -4.1,    -2.2,
428,1998-11-09,,     2.1,     4.8,    -7.2,    -1.2,    -7.3,    -4.4,
428,1998-11-10,,     2.1,     5.0,    -3.9,     3.6,    -9.6,    -4.3,
428,1998-11-11,,     2.6,     5.2,    -2.1,    -0.8,    -5.5,    -3.0,
428,1998-11-12,,     2.6,     5.5,    -3.5,     4.0,    -3.8,    -1.6,
428,1998-11-13,,     2.6,     5.5,    -2.1,    11.0,    -7.6,    -0.1,
428,1998-11-14,,     2.6,     5.5,    -0.9,    14.9,    -2.8,     2.9,
428,1998-11-15,,     2.5,     5.5,     0.0,    12.6,    -2.7,     3.2,
428,1998-11-16,,     2.4,     5.5,    -2.1,     8.8,    -2.1,     2.2,
428,1998-11-17,,     2.4,     5.6,     0.9,    10.3,    -3.3,     2.6,
428,1998-11-18,,     3.6,     6.4,    -5.1,     0.8,    -5.1,    -2.2,
428,1998-11-19,,     3.6,     7.0,    -5.8,     4.8,    -6.7,    -2.8,
428,1998-11-20,,     3.6,     7.1,    -3.8,    10.1,    -8.2,    -1.3,
428,1998-11-21,,     3.6,     7.2,    -0.2,     6.0,    -7.9,    -1.1,
428,1998-11-22,,     4.3,     7.3,    -0.6,     5.1,    -0.6,     1.4,
428,1998-11-23,,     5.0,     8.2,     0.4,     2.0,    -1.2,     0.1,
428,1998-11-24,,     7.1,    10.8,    -4.1,     2.1,    -4.1,     0.1,
428,1998-11-25,,     7.0,    11.3,    -3.4,    -0.3,    -4.9,    -3.0,
428,1998-11-26,,     6.9,    11.4,     1.0,     8.1,    -5.9,    -0.3,
428,1998-11-27,,     6.8,    11.5,    -0.1,     8.0,    -0.8,     2.2,
428,1998-11-28,,     7.2,    11.6,    -1.5,     1.0,    -1.6,    -0.5,
428,1998-11-29,,     7.4,    11.8,    -4.7,    -0.4,    -4.7,    -2.2,
428,1998-11-30,,     9.4,    14.1,     2.2,     2.2,    -5.8,    -1.6,
428,1998-12-01,,    11.5,    16.3,    -2.0,     2.3,    -2.7,    -0.2,
428,1998-12-02,,    11.5,    17.2,    -3.0,     2.5,    -3.1,    -1.6,
428,1998-12-03,,    11.6,    17.5,     0.5,     0.9,    -3.7,    -0.7,
428,1998-12-04,,    13.1,    18.1,    -8.6,     1.1,    -8.6,    -3.0,
428,1998-12-05,,    13.1,    18.5,   -11.7,    -0.8,   -13.0,    -8.3,
428,1998-12-06,,    13.5,    18.7,    -8.5,    -2.0,   -16.2,   -10.0,
428,1998-12-07,,    13.5,    18.7,   -12.4,    -1.6,   -15.1,    -9.3,
428,1998-12-08,,    13.7,    18.9,    -4.2,     2.7,   -14.7,    -6.8,
428,1998-12-09,,    13.7,    20.4,    -8.5,     2.9,    -8.5,    -3.2,
428,1998-12-10,,    13.7,    20.5,    -5.0,     1.2,    -9.2,    -5.5,
428,1998-12-11,,    13.7,    20.6,    -2.1,     9.1,    -8.4,    -1.5,
428,1998-12-12,,    13.7,    20.6,    -2.4,     8.3,    -4.4,     0.1,
428,1998-12-13,,    13.7,    20.6,     0.2,    13.2,    -4.0,     1.6,
428,1998-12-14,,    13.7,    20.7,    -3.9,     5.9,    -4.0,     1.9,
428,1998-12-15,,    13.7,    20.8,    -2.0,     5.1,    -7.4,    -1.4,
428,1998-12-16,,    13.6,    20.8,     3.4,    10.1,    -4.9,     1.4,
428,1998-12-17,,    13.6,    20.8,    -0.4,    15.0,    -0.4,     5.4,
428,1998-12-18,,    13.5,    20.8,    -2.1,    19.5,    -2.2,     4.0,
428,1998-12-19,,    13.5,    20.8,    -1.6,    10.2,    -6.3,     0.2,
428,1998-12-20,,    13.5,    20.8,   -10.0,    -1.4,   -10.5,    -6.8,
428,1998-12-21,,    13.8,    21.0,   -17.0,    -7.8,   -17.0,   -12.6,
428,1998-12-22,,    14.2,    21.5,   -14.4,     1.3,   -18.8,   -11.4,
428,1998-12-23,,    14.2,    21.5,   -16.8,    -6.6,   -18.6,   -14.2,
