

California (PST) SNOTEL Site Css Lab - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Aug 24 07:04:56 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
428,2011-10-01,,     0.0,     0.0,    11.0,    21.5,     8.4,    13.9,       0,
428,2011-10-02,,     0.0,     0.0,     8.2,    15.9,     8.2,    11.3,       0,
428,2011-10-03,,     0.0,     0.0,     9.1,    13.7,     7.8,    10.3,       0,
428,2011-10-04,,     0.0,     0.1,     3.2,    11.1,     2.6,     8.0,       0,
428,2011-10-05,,     0.5,     0.7,     2.0,     7.6,     1.9,     4.3,       3,
428,2011-10-06,,     2.3,     2.8,    -0.4,     2.5,    -0.4,     0.9,      12,
428,2011-10-07,,     2.7,     3.4,    -1.0,     4.5,    -1.0,     0.7,      13,
428,2011-10-08,,     2.5,     3.5,     3.4,     9.1,    -1.9,     2.7,      10,
428,2011-10-09,,     2.3,     3.5,     2.5,    13.3,     1.5,     5.8,       6,
428,2011-10-10,,     1.9,     4.0,     3.3,    12.8,    -0.4,     5.5,       4,
428,2011-10-11,,     1.4,     5.1,     8.8,     8.9,     3.1,     6.6,       3,
428,2011-10-12,,     0.8,     5.2,     2.0,    13.4,     2.0,     8.0,       2,
428,2011-10-13,,     0.4,     5.2,     5.6,    20.1,     1.5,     8.8,       1,
428,2011-10-14,,     0.0,     5.2,     6.1,    19.2,     4.5,    10.4,       0,
428,2011-10-15,,     0.0,     5.2,     7.1,    19.5,     5.0,    10.9,       0,
428,2011-10-16,,     0.0,     5.2,     5.9,    18.7,     5.5,    10.5,       0,
428,2011-10-17,,     0.0,     5.2,     5.0,    16.1,     5.0,    10.4,       0,
428,2011-10-18,,     0.0,     5.2,     6.1,    17.4,     3.9,     9.2,       0,
428,2011-10-19,,     0.0,     5.2,     5.6,    19.7,     4.4,    10.2,       0,
428,2011-10-20,,     0.0,     5.2,     5.6,    15.7,     4.3,     8.9,       0,
428,2011-10-21,,     0.0,     5.2,     4.1,    16.8,     3.3,     8.5,       0,
428,2011-10-22,,     0.0,     5.3,     6.3,    17.5,     1.6,     8.6,       0,
428,2011-10-23,,     0.0,     5.3,     5.5,    20.4,     3.3,     9.9,       0,
428,2011-10-24,,     0.0,     5.3,     4.7,    19.4,     2.5,     9.4,       0,
428,2011-10-25,,     0.0,     5.3,     3.1,    15.0,     3.1,     7.4,       0,
428,2011-10-26,,     0.0,     5.3,     2.0,    12.1,     1.1,     4.5,       0,
428,2011-10-27,,     0.0,     5.3,     0.8,     9.8,    -0.9,     3.2,       0,
428,2011-10-28,,     0.0,     5.3,     1.7,    13.8,    -0.4,     4.9,       0,
428,2011-10-29,,     0.0,     5.3,     1.8,    14.9,     0.1,     5.9,       0,
428,2011-10-30,,     0.0,     5.3,     7.2,    16.5,     0.6,     7.7,       0,
428,2011-10-31,,     0.0,     5.3,     3.4,    17.6,     2.2,     8.3,       0,
428,2011-11-01,,     0.0,     5.3,     2.3,    16.5,     2.1,     7.4,       0,
428,2011-11-02,,     0.0,     5.4,     1.6,     7.3,     0.5,     3.1,       0,
428,2011-11-03,,     0.0,     5.4,     4.9,    14.4,     0.5,     5.7,       0,
428,2011-11-04,,     0.3,     6.2,    -3.0,     7.1,    -3.0,     2.5,       3,
428,2011-11-05,,     0.3,     6.2,    -8.1,     1.6,    -8.1,    -3.8,       2,
428,2011-11-06,,     0.6,     6.6,    -2.2,    -1.7,    -9.2,    -4.2,       5,
428,2011-11-07,,     0.7,     6.7,    -5.4,    -0.4,    -5.4,    -2.1,       7,
428,2011-11-08,,     0.8,     6.8,    -7.0,     4.2,    -7.0,    -1.9,       8,
428,2011-11-09,,     0.8,     6.8,    -3.7,     8.3,    -8.5,    -2.0,       6,
428,2011-11-10,,     0.8,     6.8,    -1.0,    11.1,    -4.5,     1.1,       5,
428,2011-11-11,,     0.8,     6.8,    -1.4,    11.2,    -3.5,     1.9,       5,
428,2011-11-12,,     0.9,     6.9,     1.2,     9.3,    -2.2,     2.7,       5,
428,2011-11-13,,     1.0,     7.0,     0.8,     4.7,     0.8,     2.1,       5,
428,2011-11-14,,     1.1,     7.1,     3.4,    11.2,    -0.3,     3.6,       3,
428,2011-11-15,,     0.9,     7.1,    -0.4,    10.3,    -0.4,     3.5,       3,
428,2011-11-16,,     0.8,     7.1,     0.2,    10.0,    -0.9,     2.9,       4,
428,2011-11-17,,     0.8,     7.1,    -0.2,    11.0,    -0.7,     3.1,       2,
428,2011-11-18,,     0.8,     7.1,     2.6,     7.7,    -0.9,     2.9,       1,
428,2011-11-19,,     1.6,     7.9,    -2.7,     2.6,    -2.8,    -0.4,      10,
428,2011-11-20,,     2.0,     8.4,    -2.4,    -0.8,    -4.2,    -2.5,      12,
428,2011-11-21,,     2.3,     9.0,    -7.1,     2.2,    -7.2,    -1.8,      12,
428,2011-11-22,,     2.3,     9.0,    -0.5,     2.9,    -7.1,    -1.4,      14,
428,2011-11-23,,     2.3,     9.0,     1.5,     5.8,    -1.3,     1.2,      12,
428,2011-11-24,,     2.3,     9.0,     2.1,     7.6,     1.3,     4.0,      11,
428,2011-11-25,,     2.4,     9.1,     1.5,     2.8,    -1.3,     1.3,      12,
428,2011-11-26,,     2.4,     9.1,    -0.1,     8.9,    -0.6,     2.2,      11,
428,2011-11-27,,     2.4,     9.1,     0.3,    16.6,    -1.1,     3.9,      10,
428,2011-11-28,,     2.3,     9.1,     3.0,    13.4,    -0.6,     4.3,       8,
428,2011-11-29,,     2.3,     9.1,    -0.5,    12.8,    -0.5,     4.6,       9,
428,2011-11-30,,     2.3,     9.1,     0.3,    14.8,    -1.1,     4.1,       8,
428,2011-12-01,,     2.3,     9.1,    -2.9,     3.4,    -2.9,    -0.1,       9,
428,2011-12-02,,     2.3,     9.1,    -0.5,     2.1,    -4.4,    -1.3,       8,
428,2011-12-03,,     2.3,     9.1,    -4.6,     7.3,    -4.6,     1.5,       9,
428,2011-12-04,,     2.3,     9.1,    -3.9,     2.1,    -6.8,    -3.3,       9,
428,2011-12-05,,     2.3,     9.1,    -3.1,     7.3,    -4.0,     0.4,       9,
428,2011-12-06,,     2.3,     9.1,    -2.9,     2.5,    -5.6,    -2.3,       9,
428,2011-12-07,,     2.3,     9.1,    -1.1,     9.0,    -5.5,     0.5,       9,
428,2011-12-08,,     2.4,     9.2,     1.7,    10.0,    -1.9,     2.6,       8,
428,2011-12-09,,     2.4,     9.2,     0.0,     9.2,    -0.2,     3.4,       8,
428,2011-12-10,,     2.4,     9.2,    -2.7,    10.7,    -2.9,     1.4,       7,
428,2011-12-11,,     2.4,     9.2,    -3.2,    10.8,    -4.6,     0.4,       8,
428,2011-12-12,,     2.4,     9.2,    -3.8,     6.0,    -4.2,    -0.8,       8,
428,2011-12-13,,     2.4,     9.2,    -4.4,     1.7,    -4.9,    -2.4,       8,
428,2011-12-14,,     2.4,     9.2,    -7.1,     4.6,    -7.9,    -3.5,       8,
428,2011-12-15,,     2.4,     9.2,    -2.4,     6.2,    -8.4,    -2.7,       8,
428,2011-12-16,,     2.4,     9.2,    -2.3,     2.0,    -3.7,    -1.7,      10,
428,2011-12-17,,     2.4,     9.2,     0.4,     4.4,    -3.6,    -0.4,       9,
428,2011-12-18,,     2.4,     9.2,    -0.7,     8.5,    -1.0,     2.0,       9,
428,2011-12-19,,     2.4,     9.2,     2.7,    11.2,    -4.4,     1.5,       9,
428,2011-12-20,,     2.4,     9.2,    -1.4,     3.6,    -1.5,     0.3,       9,
428,2011-12-21,,     2.5,     9.3,     1.1,     7.0,    -3.0,     1.4,       8,
428,2011-12-22,,     2.5,     9.3,    -5.4,     7.8,    -5.5,     0.4,       9,
428,2011-12-23,,     2.5,     9.3,    -5.3,     2.4,    -8.0,    -3.9,       9,
428,2011-12-24,,     2.5,     9.3,     1.3,    10.4,    -6.0,     0.3,       9,
428,2011-12-25,,     2.5,     9.3,    -3.4,     7.9,    -3.4,     1.0,       9,
428,2011-12-26,,     2.5,     9.3,    -2.3,    10.2,    -4.4,     1.1,       9,
428,2011-12-27,,     2.5,     9.3,    -1.8,     9.9,    -3.9,     1.3,       9,
428,2011-12-28,,     2.4,     9.3,     1.7,    12.9,    -3.6,     1.5,       8,
428,2011-12-29,,     2.3,     9.3,     5.7,     9.0,     0.5,     4.9,       6,
428,2011-12-30,,     2.1,     9.4,     4.6,     8.0,     2.7,     5.2,       4,
428,2011-12-31,,     2.0,     9.5,    -0.3,     5.0,    -0.3,     2.7,       5,
428,2012-01-01,,     2.0,     9.5,     0.0,    11.2,    -2.3,     1.8,       6,
428,2012-01-02,,     1.9,     9.5,     1.3,    17.1,    -0.4,     4.6,       5,
428,2012-01-03,,     1.8,     9.5,     3.2,    11.0,     0.8,     6.3,       5,
428,2012-01-04,,     1.7,     9.5,     1.1,    13.0,     0.6,     4.8,       5,
428,2012-01-05,,     1.6,     9.5,     1.5,    14.9,     0.5,     5.2,       4,
428,2012-01-06,,     1.5,     9.5,    -0.5,    13.0,    -0.5,     4.1,       5,
428,2012-01-07,,     1.5,     9.5,    -1.3,    10.0,    -1.7,     1.8,       5,
428,2012-01-08,,     1.5,     9.5,    -0.5,     3.2,    -2.3,     0.0,       4,
428,2012-01-09,,     1.5,     9.5,     0.8,    10.9,    -0.9,     3.0,       4,
428,2012-01-10,,     1.4,     9.5,    -0.3,    15.1,    -0.5,     4.0,       4,
428,2012-01-11,,     1.4,     9.5,     1.3,    12.8,    -1.4,     3.6,       3,
428,2012-01-12,,     1.3,     9.5,    -1.3,     8.7,    -1.6,     1.8,       4,
428,2012-01-13,,     1.3,     9.5,    -1.1,     8.9,    -3.6,     0.8,       4,
428,2012-01-14,,     1.2,     9.5,    -0.8,    13.7,    -2.6,     2.6,       2,
428,2012-01-15,,     1.1,     9.5,     1.2,    10.1,    -2.4,     2.4,       3,
428,2012-01-16,,     1.0,     9.5,    -4.3,     5.0,    -4.3,     0.7,       3,
428,2012-01-17,,     1.1,     9.6,    -7.1,    -1.4,   -12.0,    -7.0,       5,
428,2012-01-18,,     1.1,     9.6,    -3.6,     1.3,    -9.8,    -4.6,       4,
428,2012-01-19,,     1.1,     9.6,    -1.0,     2.9,    -3.8,    -0.3,       4,
428,2012-01-20,,     1.5,    10.1,     0.4,     3.1,    -1.2,     0.6,       5,
428,2012-01-21,,     1.7,    13.5,     1.6,     5.4,     0.4,     2.7,       7,
428,2012-01-22,,     2.8,    14.7,    -5.4,     2.1,    -5.4,    -2.0,      13,
428,2012-01-23,,     3.7,    15.6,    -0.1,    -0.1,    -6.0,    -3.0,      23,
428,2012-01-24,,     5.7,    17.6,    -2.4,     1.5,    -2.4,    -0.2,      31,
428,2012-01-25,,     5.7,    17.6,     1.1,     4.0,    -6.2,    -0.7,      29,
428,2012-01-26,,     5.6,    17.6,     4.7,    10.0,    -0.2,     3.1,      22,
428,2012-01-27,,     5.6,    17.8,     0.7,     5.1,     0.5,     3.5,      17,
428,2012-01-28,,     5.6,    17.9,    -1.7,     3.8,    -2.9,    -0.3,      21,
428,2012-01-29,,     5.5,    17.9,    -0.8,     9.7,    -5.6,     0.9,      21,
428,2012-01-30,,     5.5,    17.9,     2.4,    11.8,    -2.9,     2.3,      19,
428,2012-01-31,,     5.5,    17.9,    -1.3,     8.8,    -1.5,     2.4,      19,
428,2012-02-01,,     5.5,    17.9,     1.4,    10.9,    -4.6,     1.1,      18,
428,2012-02-02,,     5.6,    18.0,    -1.5,     4.3,    -2.1,     0.2,      22,
428,2012-02-03,,     5.6,    18.0,    -4.2,     3.3,    -4.4,    -0.6,      21,
428,2012-02-04,,     5.6,    18.0,    -5.9,     5.3,    -7.1,    -2.2,      21,
428,2012-02-05,,     5.6,    18.0,    -5.5,     5.0,    -8.0,    -2.5,      21,
428,2012-02-06,,     5.5,    18.0,    -3.7,     6.4,    -7.5,    -1.4,      21,
428,2012-02-07,,     5.5,    18.0,    -0.7,     8.5,    -6.6,    -0.4,      20,
428,2012-02-08,,     5.6,    18.1,     0.6,     3.0,    -1.3,     1.0,      19,
428,2012-02-09,,     5.5,    18.1,    -0.4,    10.5,    -2.7,     3.0,      20,
428,2012-02-10,,     5.4,    18.1,     0.6,    12.0,    -1.2,     3.4,      19,
428,2012-02-11,,     5.3,    18.1,     2.5,     8.6,    -0.4,     3.3,      18,
428,2012-02-12,,     5.3,    18.1,    -2.3,     6.5,    -2.3,     2.0,      18,
428,2012-02-13,,     5.5,    18.3,    -1.8,     6.6,    -4.9,    -0.5,      19,
428,2012-02-14,,     5.8,    18.8,    -2.8,    -0.9,    -4.9,    -2.6,      25,
428,2012-02-15,,     5.8,    18.8,    -2.8,     4.0,    -4.4,    -1.5,      24,
428,2012-02-16,,     6.0,    19.2,    -5.4,    -0.9,    -8.0,    -4.8,      23,
428,2012-02-17,,     6.0,    19.2,    -2.8,     5.9,    -6.2,    -1.5,      24,
428,2012-02-18,,     6.0,    19.2,    -0.3,    10.9,    -4.5,     1.5,      22,
428,2012-02-19,,     6.0,    19.2,    -6.1,     3.8,    -6.3,     0.4,      23,
428,2012-02-20,,     6.0,    19.2,    -2.4,     3.4,    -9.0,    -3.0,      22,
428,2012-02-21,,     6.0,    19.2,    -2.2,     4.2,    -4.5,    -0.6,      23,
428,2012-02-22,,     6.0,    19.3,     4.4,     8.9,    -2.7,     4.0,      21,
428,2012-02-23,,     5.8,    19.3,     0.6,    13.4,     0.3,     5.9,      20,
428,2012-02-24,,     5.5,    19.3,     2.7,    10.1,     0.3,     4.8,      18,
428,2012-02-25,,     5.3,    19.3,     2.6,    13.1,     0.1,     5.6,      16,
428,2012-02-26,,     5.3,    19.3,    -4.2,     5.6,    -4.2,     0.7,      18,
428,2012-02-27,,     5.3,    19.3,    -3.6,     4.0,    -8.2,    -2.1,      17,
428,2012-02-28,,     6.5,    20.2,   -10.4,    -2.8,   -10.5,    -4.5,      31,
428,2012-02-29,,     6.7,    20.3,    -4.6,    -2.7,   -12.0,    -5.5,      32,
428,2012-03-01,,     9.6,    22.7,    -5.1,    -2.9,    -5.1,    -4.0,      51,
428,2012-03-02,,    10.5,    23.6,    -8.0,    -2.0,    -8.1,    -4.3,      54,
428,2012-03-03,,    10.3,    23.6,    -0.4,     5.3,    -9.3,    -1.9,      49,
428,2012-03-04,,     9.8,    23.6,    -1.0,    13.8,    -3.5,     3.2,      45,
428,2012-03-05,,     9.4,    23.6,    -0.9,    13.6,    -2.8,     4.0,      41,
428,2012-03-06,,     9.4,    23.6,     2.4,    10.3,    -3.2,     3.6,      36,
428,2012-03-07,,     9.9,    23.9,    -9.7,     2.4,    -9.7,    -4.2,      38,
428,2012-03-08,,     9.9,    23.9,    -2.4,     4.1,   -10.1,    -3.1,      36,
428,2012-03-09,,     9.9,    23.9,    -1.4,    12.5,    -4.6,     2.7,      35,
428,2012-03-10,,     9.8,    23.9,    -1.5,    13.1,    -3.1,     3.7,      33,
428,2012-03-11,,     9.6,    23.9,     2.3,     9.1,    -3.7,     2.2,      31,
428,2012-03-12,,    10.0,    24.3,    -1.1,     2.4,    -1.3,     0.0,      35,
428,2012-03-13,,    10.1,    24.4,     0.1,     2.3,    -1.2,     0.3,      34,
428,2012-03-14,,    12.4,    26.0,     1.0,     1.1,    -0.6,     0.1,      55,
428,2012-03-15,,    14.3,    28.0,     2.2,     2.4,     0.5,     1.5,      56,
428,2012-03-16,,    14.6,    29.2,     2.4,     4.3,     2.2,     3.4,      45,
428,2012-03-17,,    18.3,    32.5,    -1.6,     2.8,    -1.6,     1.3,      74,
428,2012-03-18,,    18.9,    33.1,    -4.0,     0.9,    -7.1,    -3.0,      75,
428,2012-03-19,,    19.6,    33.8,    -7.4,    -3.1,    -7.8,    -5.2,      82,
428,2012-03-20,,    19.8,    33.9,    -3.5,    -0.7,    -8.0,    -4.8,      75,
428,2012-03-21,,    19.9,    34.1,     2.2,     4.0,    -3.5,     1.0,      70,
428,2012-03-22,,    19.5,    34.1,     3.6,     8.1,     1.6,     4.0,      62,
428,2012-03-23,,    19.4,    34.3,     0.4,     7.0,     0.4,     3.6,      58,
428,2012-03-24,,    19.6,    34.5,     1.5,     5.0,    -6.2,     0.3,      57,
428,2012-03-25,,    19.7,    34.5,    -0.9,     6.2,    -0.9,     2.6,      57,
428,2012-03-26,,    19.8,    34.6,    -2.9,     3.1,    -2.9,    -0.4,      54,
428,2012-03-27,,    20.2,    34.8,    -1.1,    -0.4,    -4.0,    -2.0,      58,
428,2012-03-28,,    21.2,    35.7,     0.0,     3.6,    -1.6,     0.1,      64,
428,2012-03-29,,    22.4,    36.8,     0.9,     2.3,    -0.2,     0.7,      68,
428,2012-03-30,,    22.7,    37.0,     1.5,     4.8,    -0.1,     1.5,      63,
428,2012-03-31,,    22.9,    37.2,     3.8,     9.3,     1.4,     4.4,      60,
