,0
0,-0.5126176388983472
1,-0.19022392275212496
2,-2.2586360034797335
3,-1.7061598639455786
4,-4.4150650921658965
5,-3.176782513990819
6,-0.5894497627749651
7,0.3068575980401995
8,-2.1392166314801777
9,-1.2739546929370817
10,-1.1274693877551023
11,-4.050578533971987
12,-2.7684240905112505
13,-1.447175893195475
14,1.6800736739396216
15,-2.6681598639455775
16,0.11445103686636138
17,-0.901282513990818
18,-1.180256214387871
19,-1.3581424019597996
20,-4.636716631480176
21,-3.941535338098374
22,-2.089469387755103
23,-6.163159179133277
24,-4.6840692518015725
25,-2.568795351323553
26,-5.481216648641023
27,-1.1696598639455784
28,1.769753456221201
29,0.6465508193425116
30,-0.4641271821298041
31,-1.5371746600243128
32,-2.287216631480174
33,-5.14105146713063
34,-4.105969387755103
35,-4.874126921068761
36,-5.20326280018867
37,-1.419152494180696
38,-1.488797293802314
39,-1.4471598639455783
40,-0.5300650921658967
41,2.095717486009182
42,-2.451385246645934
43,-1.0358843374436688
44,3.336783368519825
45,-2.455567596162888
46,-7.620969387755102
47,-2.7078365984881163
48,0.5257694578758461
49,-2.8859382084664107
50,-4.765087616382959
51,-6.090659863945579
52,-1.6937747695852519
53,-3.7132825139908174
54,-2.8094497627749675
55,-5.207335950346895
56,1.468283368519824
57,0.6595936941596925
58,0.8150306122448976
59,-1.2397720823590839
60,2.9785113933597174
61,-0.7390724449196124
62,-0.12815213251199165
63,-0.8551598639455777
64,1.9763865207373286
65,-1.5302825139908194
66,0.019259914644390363
67,-5.261045627766251
68,-0.9182166314801776
69,-3.923632112291923
70,-1.5159693877551028
71,3.397163401511884
72,0.9017371998113299
73,3.8731689343907316
74,-2.634603745415217
75,3.436840136054423
76,-6.294903801843316
77,2.2437174860091815
78,-0.3746110530975457
79,1.0766963077176221
80,-2.287216631480174
81,1.8770130489984016
82,5.495530612244898
83,5.169582756350594
84,-2.1060047356725407
85,-0.5866524941806963
86,1.5368478674880084
87,-3.2416598639455785
88,-1.4968392857142838
89,-2.9177825139908187
90,-1.7173529885814176
91,-1.3050721254621038
92,-4.137216631480175
93,1.1787872425467878
94,0.2785306122448974
95,0.0671634015118836
96,-3.5919724776080244
97,-3.6526310656092678
98,-0.3071843905765075
99,-1.8541598639455783
100,-1.022403801843316
101,-0.3647825139908214
102,-1.681546536968515
103,-2.2891101438952823
104,2.115783368519825
105,3.130238855450015
106,-1.4234693877551026
107,-1.060739824294568
108,-2.231327316317702
109,-0.4711414104368541
110,-3.9952489067055397
111,-0.9291598639455785
112,-3.9137747695852507
113,-5.2883342381287495
114,-2.3618691176136757
115,-3.0410456277662483
116,-1.1032166314801763
117,-1.5962127574532108
118,-1.312469387755102
119,1.1055504982860773
120,0.6517093911350234
121,0.3449546486764463
122,-1.7017178007147562
123,1.1798401360544233
124,-0.7693715437788011
125,0.7637174860091811
126,-0.6431594401943244
127,1.5958898561047192
128,0.0807833685198247
129,0.015077565127432635
130,0.40803061224489756
131,1.9939375950602702
132,-4.486470685493329
