,0
323,-0.6747720823590839
324,-1.043101509866089
325,-2.666116779894982
326,0.902976899746073
327,-0.5731598639455786
328,-5.492161866359445
329,-3.475115847324151
330,1.6460341081927758
331,3.3744382432014923
332,-0.8613832981468441
333,-1.0313740477757918
334,0.534030612244897
335,0.0349053369957546
336,0.956898490133911
337,-1.4875453513235533
338,-0.742184390576508
339,-1.4064931972789116
340,-0.29861347926267
341,0.35821748600918113
342,1.3879695920637438
343,-0.6578198213146358
344,3.4719500351864916
345,-1.6765353380983736
346,-2.3993027210884357
347,0.19619565957639962
348,-1.4624563485757665
349,-0.8656241690575435
350,1.67717044813317
351,2.6268401360544225
352,1.0562252304147481
353,4.191550819342513
354,0.19442120496696802
355,1.5679866302982646
356,-0.22804996481351125
357,5.581529178030658
358,2.2673639455782313
359,2.647808562802206
360,-0.10761763889834697
361,-1.916116779894982
362,3.354589802971879
363,-0.8398265306122443
364,7.540096198156684
365,2.358217486009181
366,0.8718405598056798
367,3.8905672754595564
368,3.405283368519825
369,-1.9023417897112758
370,-1.799302721088436
371,3.099421466028013
372,-2.268907961478992
373,3.0481689343907323
374,-0.19379729380231403
375,1.4935068027210896
376,0.9271929723502321
377,3.991550819342514
378,4.16216314045084
379,2.4066963077176204
380,2.2719500351864887
381,4.000884016740338
382,-0.13263605442176907
383,-2.352191437197794
384,2.827866232069395
385,-0.6661167798949821
386,0.838460770713815
387,-5.606493197278912
388,0.34654781105991006
389,3.7248841526758483
390,4.033130882386324
391,0.08411566255633218
392,3.638616701853156
393,2.1621743393209822
394,1.6006972789115634
395,-2.1263849855848904
396,-0.8172950582531855
397,-2.693210375954095
398,5.451363996520267
399,1.6935068027210889
400,1.8626768433179741
401,3.0582174860091804
402,2.291195398515356
403,2.084115662556332
404,1.4719500351864916
405,4.646045307062918
406,-2.999302721088436
407,-2.416707566230052
408,-1.6237466711564115
409,-0.7018310656092677
410,-0.35508761638295905
411,-1.7064931972789115
412,-2.201839285714284
413,-2.8084491806574867
414,2.581517979160516
415,2.4712124367498802
416,-0.6947166314801763
417,-2.3862127574532117
418,-1.7659693877551028
419,0.1639375950602706
420,-2.236649896962863
421,1.155311791533589
422,-5.580894067995862
423,-1.5064931972789113
424,0.70138652073733
425,3.2582174860091797
426,2.51700185012826
427,1.1808898561047165
428,2.405283368519825
429,0.25894853286936836
430,1.6673639455782299
431,-0.2876753081655359
432,1.763350103037137
433,1.4410260772478756
434,5.322331738455751
435,2.7601734693877553
436,3.701386520737328
437,1.1582174860091818
438,1.16216314045084
439,0.40669630771762044
440,-1.6280499648135098
441,0.42023885545001427
442,0.13403061224489754
443,2.260711788608658
444,-2.33342409051125
445,3.099893072321767
446,2.161041415875105
447,1.3268401360544217
448,1.0562252304147481
449,1.524884152675849
450,1.0008728178701958
451,1.6325027593305244
452,2.3052833685198237
453,-1.9668579187435338
454,4.467363945578231
455,-1.0618688565526324
456,4.860124296585524
457,0.08388322010501792
458,1.128783351358976
459,2.2935068027210885
460,3.798160714285716
461,-1.8084491806574867
462,0.7750663662572919
463,-1.3997553051856038
464,1.9719500351864916
465,1.0008840167403363
466,4.134030612244897
467,1.325227917640916
468,1.473027522391976
469,2.0124546486764467
470,1.386847867488009
471,-0.9398265306122449
472,-2.814742511520736
473,-1.3417825139908182
474,0.8718405598056798
475,-1.3997553051856038
476,1.0719500351864895
477,-0.7733095316467598
478,2.700697278911565
479,0.3252279176409161
480,5.537543651424234
481,-0.6661167798949821
482,-1.613152132511991
483,-1.2064931972789115
484,-3.524419930875574
485,-3.5417825139908174
486,-2.418482020839484
487,-0.9804004664759276
488,1.8719500351864902
489,-0.3862127574532117
490,0.36736394557823093
491,0.9703892079634961
492,3.376253328843588
493,0.7205827274941807
494,-1.097023100253927
495,1.360173469387755
496,2.378805875576038
497,-1.4417825139908196
498,-1.418482020839484
499,1.1486317915885884
500,2.4386167018531566
501,0.12991627480485235
502,-0.5659693877551026
503,2.873615014415109
504,1.569801715940363
505,1.5481689343907323
506,3.354589802971879
507,3.2935068027210885
508,0.959451036866362
509,1.0915508193425154
510,0.9040986243218079
511,-1.7868520793791518
512,-2.4280499648135105
513,0.5492711135145303
514,1.4673639455782306
515,-2.384449501713923
516,5.63431784497262
517,1.2981689343907323
518,1.515880125552525
519,2.4601734693877546
520,1.798160714285716
521,1.2248841526758483
522,1.0008728178701958
523,-2.1739488535727
524,-0.5947166314801748
525,-0.8378256606790178
526,2.6340306122448967
527,4.099421466028013
528,4.98915655465004
529,6.012454648676446
530,5.935234964262203
531,2.1601734693877557
532,-0.4276457373271878
533,2.991550819342514
534,-2.353965891807224
535,-0.8513682084114116
536,0.30528336851982374
537,2.2266904683532385
538,2.4340306122448974
539,0.0994214660280126
540,-1.3979402195435084
541,5.2033413481838355
542,0.99975109329446
543,2.8268401360544217
544,0.5078381336405542
545,1.56511403773332
546,-0.547514278904
547,1.1808898561047165
548,0.03861670185315802
549,1.6460453070629182
550,-1.6993027210884364
551,-3.0296107920365034
552,-2.33342409051125
553,-2.666116779894982
554,2.290073673939621
555,-0.5731598639455786
556,2.34654781105991
557,0.6582174860091818
558,1.033130882386324
559,0.8905672754595564
560,-2.0280499648135084
561,-3.41847082196934
562,1.6006972789115634
563,0.9381311434473671
564,2.860124296585524
565,0.8695975058193035
566,-1.613152132511991
567,1.5935068027210892
568,1.6368703917050702
569,2.024884152675849
570,1.7428083017411637
571,0.5034705012660083
572,0.7719500351864887
573,1.4847549844822723
574,0.5006972789115638
575,5.647808562802207
576,1.343995264327459
577,-4.844688208466411
578,-1.161539229286185
579,2.0935068027210892
580,-1.65345218894009
581,0.19155081934251328
582,-1.6442884724523879
583,-0.10943272454044362
584,-3.1613832981468413
585,-0.3862127574532117
586,4.06736394557823
587,0.7445827563505931
